😀	grand sourire, large sourire, visage, visage avec large sourire
🧒🏽	enfant, enfant : peau légèrement mate, genre non défini, jeune, peau légèrement mate
🧒🏾	enfant, enfant : peau modérément foncée, genre non défini, jeune, peau modérément foncée
🧒🏿	enfant, enfant : peau foncée, genre non défini, jeune, peau foncée
👦🏻	garçon : peau claire
👦🏼	garçon, garçon : peau modérément claire, jeune, peau modérément claire
👦🏽	garçon : peau légèrement mate
👦🏾	garçon, garçon : peau modérément foncée, jeune, peau modérément foncée
👦🏿	garçon : peau foncée
👧🏻	fille : peau claire
👧🏼	fille, fille : peau modérément claire, jeune, peau modérément claire, vierge, zodiaque
👧🏽	fille : peau légèrement mate
👧🏾	fille, fille : peau modérément foncée, jeune, peau modérément foncée, vierge, zodiaque
👧🏿	fille : peau foncée
🧑	adulte, genre non défini, personne
🧑🏻	adulte, adulte : peau claire, genre non défini, peau claire, personne
🧑🏼	adulte, adulte : peau modérément claire, genre non défini, peau modérément claire, personne
🧑🏽	adulte, adulte : peau légèrement mate, genre non défini, peau légèrement mate, personne
🧑🏾	adulte, adulte : peau modérément foncée, genre non défini, peau modérément foncée, personne
🧑🏿	adulte, adulte : peau foncée, genre non défini, peau foncée, personne
👱	blond, personne blonde
👱🏻	blond, peau claire, personne blonde, personne blonde : peau claire
👱🏼	blond, peau modérément claire, personne blonde, personne blonde : peau modérément claire
👱🏽	blond, peau légèrement mate, personne blonde, personne blonde : peau légèrement mate
👱🏾	blond, peau modérément foncée, personne blonde, personne blonde : peau modérément foncée
👱🏿	blond, peau foncée, personne blonde, personne blonde : peau foncée
