😀	aodann, aodann le gàire, fiamh-ghàire, gàire
🖕🏾	Fionnlagh Fada / Màiri Fhada, Fionnlagh Fada / Màiri Fhada: tòna meadhanach doilleir a’ chraicinn, corrag, làmh, meur, tòna meadhanach doilleir a’ chraicinn
🖕🏿	Fionnlagh Fada / Màiri Fhada, Fionnlagh Fada / Màiri Fhada: tòna doilleir a’ chraicinn, corrag, làmh, meur, tòna doilleir a’ chraicinn
👇️	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh sìos, làmh, meur, sìos, tomhadh
👇🏻	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh sìos, druim na làimhe, colgag a’ tomhadh sìos: tòna soilleir a’ chraicinn, làmh, meur, sìos, tomhadh, tòna soilleir a’ chraicinn
👇🏼	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh sìos, druim na làimhe, colgag a’ tomhadh sìos: tòna meadhanach soilleir a’ chraicinn, làmh, meur, sìos, tomhadh, tòna meadhanach soilleir a’ chraicinn
👇🏽	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh sìos, druim na làimhe, colgag a’ tomhadh sìos: tòna meadhanach a’ chraicinn, làmh, meur, sìos, tomhadh, tòna meadhanach a’ chraicinn
👇🏾	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh sìos, druim na làimhe, colgag a’ tomhadh sìos: tòna meadhanach doilleir a’ chraicinn, làmh, meur, sìos, tomhadh, tòna meadhanach doilleir a’ chraicinn
👇🏿	colgag, corrag, druim na làimhe, druim na làimhe, colgag a’ tomhadh sìos, druim na làimhe, colgag a’ tomhadh sìos: tòna doilleir a’ chraicinn, làmh, meur, sìos, tomhadh, tòna doilleir a’ chraicinn
☝️	colgag, colgag a’ tomhadh suas, corrag, làmh, meur, suas, tomhadh
☝🏻	colgag, colgag a’ tomhadh suas, colgag a’ tomhadh suas: tòna soilleir a’ chraicinn, corrag, làmh, meur, suas, tomhadh, tòna soilleir a’ chraicinn
☝🏼	colgag, colgag a’ tomhadh suas, colgag a’ tomhadh suas: tòna meadhanach soilleir a’ chraicinn, corrag, làmh, meur, suas, tomhadh, tòna meadhanach soilleir a’ chraicinn
☝🏽	colgag, colgag a’ tomhadh suas, colgag a’ tomhadh suas: tòna meadhanach a’ chraicinn, corrag, làmh, meur, suas, tomhadh, tòna meadhanach a’ chraicinn
