😀	cara, cara sonriendo, divertido, feliz, sonrisa
🤲🏾	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel oscuro medio, tono de piel oscuro medio
🤲🏿	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel oscuro, tono de piel oscuro
🤝	acuerdo, apretón, apretón de manos, manos
🙏	mano, manos en oración, oración, orar, rezar
🙏🏻	mano, manos en oración, manos en oración: tono de piel claro, oración, orar, rezar, tono de piel claro
🙏🏼	mano, manos en oración, manos en oración: tono de piel claro medio, oración, orar, rezar, tono de piel claro medio
🙏🏽	mano, manos en oración, manos en oración: tono de piel medio, oración, orar, rezar, tono de piel medio
🙏🏾	mano, manos en oración, manos en oración: tono de piel oscuro medio, oración, orar, rezar, tono de piel oscuro medio
🙏🏿	mano, manos en oración, manos en oración: tono de piel oscuro, oración, orar, rezar, tono de piel oscuro
✍️	cuerpo, escribir, lápiz, mano, mano escribiendo
✍🏻	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel claro, tono de piel claro
✍🏼	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel claro medio, tono de piel claro medio
✍🏽	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel medio, tono de piel medio
✍🏾	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel oscuro medio, tono de piel oscuro medio
✍🏿	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel oscuro, tono de piel oscuro
💅	cosmética, esmalte, manicura, pintarse las uñas, uñas
💅🏻	cosmética, esmalte, manicura, pintarse las uñas, pintarse las uñas: tono de piel claro, tono de piel claro, uñas
💅🏼	cosmética, esmalte, manicura, pintarse las uñas, pintarse las uñas: tono de piel claro medio, tono de piel claro medio, uñas
💅🏽	cosmética, esmalte, manicura, pintarse las uñas, pintarse las uñas: tono de piel medio, tono de piel medio, uñas
💅🏾	cosmética, esmalte, manicura, pintarse las uñas, pintarse las uñas: tono de piel oscuro medio, tono de piel oscuro medio, uñas
