😀	cara, cara sonriendo, contento, divertido, sonrisa
🙌🏻	chocar, cinco, festejo, manos, manos levantadas celebrando, manos levantadas celebrando: tono de piel claro, tono de piel claro
🙌🏼	chocar, cinco, festejo, manos, manos levantadas celebrando, manos levantadas celebrando: tono de piel claro medio, tono de piel claro medio
🙌🏽	chocar, cinco, festejo, manos, manos levantadas celebrando, manos levantadas celebrando: tono de piel medio, tono de piel medio
🙌🏾	chocar, cinco, festejo, manos, manos levantadas celebrando, manos levantadas celebrando: tono de piel oscuro medio, tono de piel oscuro medio
🙌🏿	chocar, cinco, festejo, manos, manos levantadas celebrando, manos levantadas celebrando: tono de piel oscuro, tono de piel oscuro
👐🏻	abiertas, manos, manos abiertas: tono de piel claro, tono de piel claro
👐🏼	abiertas, manos, manos abiertas: tono de piel claro medio, tono de piel claro medio
👐🏽	abiertas, manos, manos abiertas: tono de piel medio, tono de piel medio
👐🏾	abiertas, manos, manos abiertas: tono de piel oscuro medio, tono de piel oscuro medio
👐🏿	abiertas, manos, manos abiertas: tono de piel oscuro, tono de piel oscuro
🤲🏻	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel claro, tono de piel claro
🤲🏼	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel claro medio, tono de piel claro medio
🤲🏽	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel medio, tono de piel medio
🤲🏾	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel oscuro medio, tono de piel oscuro medio
🤲🏿	oración, palmas hacia arriba juntas, palmas hacia arriba juntas: tono de piel oscuro, tono de piel oscuro
🙏	favor, gracias, oración, orar, rezar
🙏🏻	favor, gracias, manos en oración: tono de piel claro, oración, orar, rezar, tono de piel claro
🙏🏼	favor, gracias, manos en oración: tono de piel claro medio, oración, orar, rezar, tono de piel claro medio
🙏🏽	favor, gracias, manos en oración: tono de piel medio, oración, orar, rezar, tono de piel medio
🙏🏾	favor, gracias, manos en oración: tono de piel oscuro medio, oración, orar, rezar, tono de piel oscuro medio
🙏🏿	favor, gracias, manos en oración: tono de piel oscuro, oración, orar, rezar, tono de piel oscuro
✍🏻	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel claro, tono de piel claro
✍🏼	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel claro medio, tono de piel claro medio
✍🏽	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel medio, tono de piel medio
✍🏾	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel oscuro medio, tono de piel oscuro medio
✍🏿	cuerpo, escribir, lápiz, mano, mano escribiendo, mano escribiendo: tono de piel oscuro, tono de piel oscuro
💅	esmalte, pintarse las uñas, uñas
💅🏻	esmalte, pintarse las uñas, pintarse las uñas: tono de piel claro, tono de piel claro, uñas
💅🏼	esmalte, pintarse las uñas, pintarse las uñas: tono de piel claro medio, tono de piel claro medio, uñas
💅🏽	esmalte, pintarse las uñas, pintarse las uñas: tono de piel medio, tono de piel medio, uñas
💅🏾	esmalte, pintarse las uñas, pintarse las uñas: tono de piel oscuro medio, tono de piel oscuro medio, uñas
💅🏿	esmalte, pintarse las uñas, pintarse las uñas: tono de piel oscuro, tono de piel oscuro, uñas
🤳	selfi
🤳🏻	selfi, selfi: tono de piel claro, tono de piel claro
🤳🏼	selfi, selfi: tono de piel claro medio, tono de piel claro medio
🤳🏽	selfi, selfi: tono de piel medio, tono de piel medio
🤳🏾	selfi, selfi: tono de piel oscuro medio, tono de piel oscuro medio
🤳🏿	selfi, selfi: tono de piel oscuro, tono de piel oscuro
💪🏻	bíceps, bíceps flexionado: tono de piel claro, cómic, flexionado, fuerte, músculo, tono de piel claro
💪🏼	bíceps, bíceps flexionado: tono de piel claro medio, cómic, flexionado, fuerte, músculo, tono de piel claro medio
💪🏽	bíceps, bíceps flexionado: tono de piel medio, cómic, flexionado, fuerte, músculo, tono de piel medio
💪🏾	bíceps, bíceps flexionado: tono de piel oscuro medio, cómic, flexionado, fuerte, músculo, tono de piel oscuro medio
💪🏿	bíceps, bíceps flexionado: tono de piel oscuro, cómic, flexionado, fuerte, músculo, tono de piel oscuro
🦵🏻	extremidad, patada, pierna, pierna: tono de piel claro, tono de piel claro
🦵🏼	extremidad, patada, pierna, pierna: tono de piel claro medio, tono de piel claro medio
🦵🏽	extremidad, patada, pierna, pierna: tono de piel medio, tono de piel medio
🦵🏾	extremidad, patada, pierna, pierna: tono de piel oscuro medio, tono de piel oscuro medio
🦵🏿	extremidad, patada, pierna, pierna: tono de piel oscuro, tono de piel oscuro
🦶🏻	patada, pie, pie: tono de piel claro, pisotón, tono de piel claro
🦶🏼	patada, pie, pie: tono de piel claro medio, pisotón, tono de piel claro medio
🦶🏽	patada, pie, pie: tono de piel medio, pisotón, tono de piel medio
🦶🏾	patada, pie, pie: tono de piel oscuro medio, pisotón, tono de piel oscuro medio
🦶🏿	patada, pie, pie: tono de piel oscuro, pisotón, tono de piel oscuro
👂🏻	cuerpo, oreja, oreja: tono de piel claro, tono de piel claro
👂🏼	cuerpo, oreja, oreja: tono de piel claro medio, tono de piel claro medio
👂🏽	cuerpo, oreja, oreja: tono de piel medio, tono de piel medio
👂🏾	cuerpo, oreja, oreja: tono de piel oscuro medio, tono de piel oscuro medio
