😀	andlit, glott, glottandi andlit
👨‍👨‍👧‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: karl, karl, stúlka og drengur, fólk, karl, móðir, stúlka
👨‍👨‍👦‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: karl, karl, drengur og drengur, fólk, karl, móðir
👨‍👨‍👧‍👧	barn, faðir, fjölskylda, fjölskylda: karl, karl, stúlka og stúlka, fólk, karl, móðir, stúlka
👩‍👩‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: kona, kona og drengur, fólk, kona, móðir
👩‍👩‍👧	barn, faðir, fjölskylda, fjölskylda: kona, kona og stúlka, fólk, kona, móðir, stúlka
👩‍👩‍👧‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: kona, kona, stúlka og drengur, fólk, kona, móðir, stúlka
👩‍👩‍👦‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: kona, kona, drengur og drengur, fólk, kona, móðir
👩‍👩‍👧‍👧	barn, faðir, fjölskylda, fjölskylda: kona, kona, stúlka og stúlka, fólk, kona, móðir, stúlka
👨‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: karl og drengur, fólk, karl, móðir
👨‍👦‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: karl, drengur og drengur, fólk, karl, móðir
👨‍👧	barn, faðir, fjölskylda, fjölskylda: karl og stúlka, fólk, karl, móðir, stúlka
👨‍👧‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: karl, stúlka og drengur, fólk, karl, móðir, stúlka
👨‍👧‍👧	barn, faðir, fjölskylda, fjölskylda: karl, stúlka og stúlka, fólk, karl, móðir, stúlka
👩‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: kona og drengur, fólk, kona, móðir
👩‍👦‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: kona, drengur og drengur, fólk, kona, móðir
👩‍👧	barn, faðir, fjölskylda, fjölskylda: kona og stúlka, fólk, kona, móðir, stúlka
👩‍👧‍👦	barn, drengur, faðir, fjölskylda, fjölskylda: kona, stúlka og drengur, fólk, kona, móðir, stúlka
👩‍👧‍👧	barn, faðir, fjölskylda, fjölskylda: kona, stúlka og stúlka, fólk, kona, móðir, stúlka
🗣️	andlit, höfuð, skuggamynd, tala, talandi, talandi höfuð
👤	brjóstmynd, brjóstmynd í skugga, framan á, fólk
👥	brjóstmynd, brjóstmyndir í skugga, framan á, fólk
👣	fótspor, fótur, líkami, spor
🦰	rautt hár, rauðleitt hár
🦱	afró, krullað hár, krullur, lokkar
🦳	gamalt, grátt hár, hvítt, hvítt hár, hár
🦲	hárleysi, hárlos, lyfjameðferð, rakað höfuð, skalli
🐵	apahöfuð, api, dýr, höfuð
🐒	api
🦍	api, górilla
🦧	api, órangútan
🐶	gæludýr, hundshöfuð, hundur, höfuð
🐕️	gæludýr, hundur
🦮	aðgengi, leiðsögn, leiðsöguhundur, sjónlaus
🐕‍🦺	aðgengi, aðstoð, hundur, þjónusta, þjónustuhundur
🐩	gæludýr, hundur, púðluhundur
🐺	andlit, úlfur
🦊	andlit, refur
🦝	forvitinn, slóttugur, þvottabjörn
🐱	gæludýr, höfuð, kattarhöfuð, köttur
🐈️	gæludýr, köttur
🦁	andlit, ljón, ljónið, stjörnumerki
🐯	höfuð, tígrisdýr, tígrisdýrshöfuð
🐅	tígrisdýr
🐆	hlébarði
🐴	hestshöfuð, hestur, höfuð
🐎	hestur, veðhlaupahestur
🦄	andlit, einhyrningur
🦓	rendur, rönd, sebrahestur
🦌	dýr, hjörtur, hreindýr, ´hjartardýr
🐮	höfuð, kýr, kýrhöfuð
🐂	naut, stjörnumerki, uxi
🐃	buffaló, vatn, vatnabuffaló
🐄	kú, kýr
🐷	höfuð, svín, svínshöfuð
🐖	grís, svín
🐗	svín, villisvín
🐽	svín, svínstrýni, trýni
🐏	hrútur, kind, stjörnumerki
🐑	fé, kind, sauðfé, ær
🐐	geit, stjörnumerki
🐪	drómedari, kryppa, úlfaldi
🐫	kameldýr
🦙	alpaka, lamadýr, ull, villt lamadýr, villt suður-amerískt spendýr
🦒	blettir, doppur, gíraffi
🐘	fíll
🦏	dýr, nashyrningur
🦛	flóðhestur
🐭	höfuð, mús, músarhöfuð
🐁	mús
🐀	rotta
🐹	andlit, gæludýr, hamstur
🐰	höfuð, kanína, kanínuhöfuð
🐇	kanína
🐿️	jarðíkorni, íkorni
🦔	broddar, broddgöltur, broddóttur
🦇	dýr, leðurblaka, vampíra
🐻	andlit, björn
🐨	höfuð, kóalabjörn
🐼	andlit, panda
🦥	hægur, latur, letidýr
🦦	gamansamur, otur, veiði
🦨	skunkur, óþefur
🦘	hopp, kengúra, kengúruungi, pokadýr, ungi, Ástralía
🦡	greifingi, hunangsgreifingi, rellóttur, þjakandi
🐾	fótspor, loppa, loppur
🦃	fugl, kalkúnn
🐔	fugl, hæna, kjúklingur
🐓	fugl, hani
🐣	fuglsungi, hænuungi í eggi, kjúklingur, ungi
🐤	fuglsungi, hænuungi, kjúklingur, ungi
🐥	framhlið hænuunga, fuglsungi, kjúklingur, ungi
🐦️	fugl
🐧	fugl, mörgæs
🕊️	dúfa, friður, fugl
🦅	fugl, örn
🦆	fugl, önd
🦢	fugl, ljóti andarunginn, svanur, álft, álftarungi
🦉	fugl, ugla
🦩	flamingói, hitabeltis, litríkur
🦚	fugl, páfugl, páhæna, stoltur, sýndarmennska
🦜	fugl, páfagaukur, sjóræningi, tal
🐸	andlit, froskur
🐊	krókódíll, krókókíll
🐢	skjaldbaka
🦎	eðla, skriðdýr
🐍	naðra, naðurvaldi, snákur, stjörnumerki
🐲	drekahöfuð, dreki, höfuð
🐉	dreki, ævintýri
🦕	finngálkn, graseðla, þórseðla, þórseðlubróðir
🦖	Grameðla
🐳	blásandi hvalur, hvalur
🐋	hvalur, keikó
🐬	höfrungur
🐟️	fiskar, fiskur, stjörnumerki
🐠	fiskur, hitabelti, hitabeltisfiskur
🐡	blöðrufiskur, fiskur
🦈	fiskur, hákarl, sjávardýr
🐙	kolkrabbi
🐚	kuðungur
🐌	snigill
🦋	dýr, fiðrildi, skordýr
🐛	margfætla, skordýr
🐜	maur, skordýr
🐝	býfluga, hunangsfluga
🐞	bjalla, maríubjalla, maríuhæna, skordýr
🦗	engispretta, krybba
🕷️	könguló, skordýr
🕸️	könguló, köngulóarvefur, vefur
🦂	sporðdreki, stjörnumerki
🦟	hiti, malaría, moskító, skordýr, veiki, veira
🦠	amaba, baktería, veira, vírus, örvera
💐	blóm, blómvöndur, rómantík
🌸	blóm, kirsuber, kirsuberjablóm
💮	blóm, hvítt blóm, stimpill
🏵️	blóm, panta, rós, rósarmynstur
🌹	blóm, rós
🥀	blóm, rós, sölnað blóm
🌺	Havaírós, blóm
🌻	blóm, sól, sólblóm
🌼	blóm, planta
🌷	blóm, túlípani
🌱	græðlingur, planta
🌲	sígrænt, sígrænt tré, tré
🌳	lauftré, sumargrænt tré, tré
🌴	pálmatré, pálmi, tré
🌵	kaktus, planta
🌾	ax, hrísgrjón, hrísgrjónaax, hrísgrjónaplanta
🌿	krydd, kryddjurt, lauf
☘️	músarsmári, planta, smári
🍀	fjögurra laufa smári, happamerki, smári
🍁	hlynslauf, hlynur, lauf, laufblað
🍂	fallandi, fallandi lauf, fallandi laufblöð, haust, lauf, laufblað
🍃	lauf, lauf í vindi, laufblað, vindur
🍇	vínber, ávöxtur
🍈	melóna, ávöxtur
🍉	melóna, vatnsmelóna, ávöxtur
🍊	appelsína, mandarína, ávöxtur
🍋	sítrusávöxtur, sítróna, ávöxtur
🍌	banani, ávöxtur
🍍	ananas, ávöxtur
🥭	mangó, suðrænn, ávöxtur
🍎	epli, rautt, rautt epli, ávöxtur
🍏	epli, grænt, grænt epli, ávöxtur
🍐	pera, ávöxtur
🍑	ferskja, ávöxtur
🍒	kirsuber, ávöxtur
🍓	jarðarber, ávöxtur
🥝	kíví, matur, ávöxtur
🍅	grænmeti, tómatur
🥥	kókoshneta, pina colada, pálmatré
🥑	avókadó, grænmeti, matur
🍆	eggaldin, grænmeti
🥔	grænmeti, kartafla, matur
🥕	grænmeti, gulrót, matur
🌽	maís
🌶️	chilipipar, chilli, pipar, planta, sterkt
🥒	grænmeti, gúrka, matur
🥬	bok choi, grænkál, hvítkál, kál
🥦	brokkólí, garðakál
🧄	bragðbætir, hvítlaukur
🧅	bragðefni, laukur
🍄	sveppur
🥜	grænmeti, jarðhneta, jarðhnetur
🌰	hneta, kastanía
🍞	brauð, brauðhleifur
🥐	brauð, franskt, horn
🥖	brauð, fransbrauð, franskt, matur
🥨	saltkringla, snúin
🥯	bakarí, beygla, smurostur
🥞	eftirréttur, matur, pönnukökur
🧇	járn, vaffla, vöfflujárn
🧀	götóttur ostur, ostur
🍖	bein, kjöt, veitingastaður
🍗	fuglakjöt, kjúklingaleggur, kjúklingur, leggur
🥩	kjötsneið, kótiletta, lambakótiletta, steik, svínakótiletta
🥓	beikon, kjöt, matur
🍔	borgari, hamborgari, veitingastaður
🍟	franskar, franskar kartöflur, veitingastaður
🍕	ostur, pítsa, pítsusneið, sneið
🌭	pulsa, pylsa, pylsa í brauði, vínarpylsa
🥪	brauð, samloka
🌮	mexíkóskt, takó
🌯	búrrító, mexíkóskt
🥙	kebab, kebap, matur, rúlla
🧆	falafel, kjötbollur, kjúklingabaunir
🥚	egg, matur
🍳	elda, steikarpanna, steiking, veitingastaður
🥘	matur, panna, pönnuréttur
🍲	kássa, pottréttur
🥣	morgunkorn, morgunmatur, morgunverður, skál og skeið
🥗	grænmeti, matur, salat
🍿	popp
🧈	mjólkurvara, smjör
🧂	krydd, salt, saltstaukur
🥫	dós, dósamatur
🍱	bento-box, nesti, nestisbox
🍘	hrísgrjón, hrísgrjónakex, kex
🍙	hrísgrjón, hrísgrjónabolla, onigiri
🍚	hrísgrjón, soðin, soðin hrísgrjón
🍛	hrísgrjón, hrísgrjón og karrí, karrí, veitingastaður
🍜	gufusoðnar, núðlur, núðluskál, skál, veitingastaður
🍝	pasta, spagettí, veitingastaður
🍠	kartafla, steikt, steiktar sætar kartöflur, sæt
🍢	oden, sjávarréttir, sjávarréttir á teini, veitingastaður
🍣	sushi, veitingastaður
🍤	djúpsteikt rækja, rækja, veitingastaður
🍥	fiskkaka, fiskur, veitingastaður
🥮	haust, hátíð, tunglkaka
🍡	dango, mochi, soðkökur, soðkökur á teini, veitingastaður
🥟	dumpling, empanada, gyosa, pierogi, soðkaka
🥠	opinberun, spádómskaka, spádómur, vitrun
🥡	kínverskur matur, taka-með, takeaway-box
🦀	krabbi, stjörnumerki
🦞	bisque, humar, klær, matarmikil súpa, sjávarfang
🦐	rækja, sjávardýr, skelfiskur
🦑	sjávardýr, smokkfiskur
🦪	köfun, ostra, perla
🍦	rjómaís, veitingastaður, ís, ís úr vél
🍧	skafinn, skafís, veitingastaður, ís
🍨	kúluís, veitingastaður, ís
🍩	eftirréttur, kleinuhringur, sætindi
🍪	smákaka, súkkulaðibitakaka, veitingastaður
🎂	afmæli, afmæliskaka, kaka, veisla
🍰	kaka, kökusneið, terta, veitingastaður
🧁	bakarí, bollakaka, sætindi
🥧	baka, bökudeig, fylling, sætabrauð
🍫	súkkulaði, súkkulaðiplata, veitingastaður
🍬	eftirréttur, nammi, sælgæti
🍭	nammi, sleikibrjóstsykur, sleikjó, sælgæti, veitingastaður
🍮	búðingur, veitingastaður
🍯	hunang, hunangskrukka, veitingastaður
🍼	drekka, mjólk, peli
🥛	drykkur, glas, mjólk, mjólkurglas
☕️	drykkur, heitt, heitur drykkur, kaffi, rjúkandi, te
🍵	bolli, drykkur, te, tebolli
🍶	bar, bolli, drykkur, flaska, sake
🍾	bar, flaska, flaska með korktappa, korkur, skjóta
🍷	bar, drekka, drykkur, glas, vín
🍸️	bar, hanastél, kokteilglas, kokteill, veitingastaður
🍹	bar, drykkur, glas, suðrænn kokteill, veitingastaður
🍺	bar, bjór, bjórglas, glas, veitingastaður
🍻	bar, bjór, bjórglös, bjórkönnur, drykkur, skál
🥂	drykkur, glas, glös, skál
🥃	drykkur, glas, viskí, viskíglas, áfengi
🥤	glas og rör, gos, safi
🧃	ferna, safaferna
🧉	drykkur, mate
🧊	kuldi, ísjaki, ísmoli
🥢	matprjónar
🍽️	diskur, eldamennska, gaffall, gaffall og hnífur við disk, hnífur
🍴	hnífapör, hnífur og gaffall, veitingastaður
🥄	hnífapör, skeið
🔪	eldhúshnífur, hnífur
🏺	drykkur, eldamennska, krukka, leirkrukka, vatnsberi
🌍	Afríka, Evrópa, hnöttur sem sýnir Evrópu-Afríku, jörðin
🌎️	Ameríka, N- og S-Ameríka, hnöttur sem sýnir Ameríku, jörðin
🌏	Asía, hnöttur sem sýnir Asíu-Ástralíu, jörðin, Ástralía
🌐	breiddargráður, hnöttur sem sýnir lengdarbauga, lengdargráður
🗺️	heimskort, heimur, kort
🗾	Japan, kort, kort af Japan
🧭	kompás, leiðarlýsing, leiðsögn, segulmagn, áttaviti
🏔️	fjall, kalt, snjór, snæviþakinn fjallstindur
⛰️	fjall
🌋	eldfjall, eldgos
🗻	fjall, fuji, fuji-fjall
🏕️	ferðalag, tjald, tjaldstæði
🏖️	strönd, strönd með sólhlíf, sólhlíf
🏜️	eyðimörk
🏝️	eyja, eyðieyja, eyðimörk
🏞️	garður, þjóðgarður
🏟️	leikvangur
🏛️	bygging, klassísk, klassísk fornbygging, sígild
🏗️	bygging, mannvirki í byggingu, í byggingu
🧱	leir, múrhúð, múrsteinar, múrsteinn, vegglím, veggur
🏘️	bygging, hús, húsaþyrping
🏚️	bygging, hús, niðurnítt, niðurnítt hús
🏠️	bygging, heimili, hús
🏡	garður, heimili, hús, hús með garði
🏢	bygging, hús, skrifstofuhúsnæði, skrifstofur
🏣	japan, japanskt pósthús, pósthús
🏤	evrópskt, evrópskt pósthús, pósthús, póstur
🏥	bygging, lækningar, læknir, sjúkrahús
🏦	banki, bygging
🏨	bygging, hótel
🏩	bygging, hótel, ástarhótel
🏪	bygging, búð, matvörubúð, verslun
🏫	bygging, skólahús, skóli
🏬	stórmarkaður, verslun
🏭️	bygging, verksmiðja
🏯	bygging, japanskur kastali, kastali
🏰	bygging, evrópskur kastali, kastali
💒	brúðkaup, kirkja, kirkjubrúðkaup, rómantík
🗼	tokyo, tokyo-turninn, turn
🗽	frelsisstyttan, stytta
⛪️	bygging, kirkja, kross, trú
🕌	moska, múslimi, trúarbrögð, íslam
🛕	hindú, hindúahof, hof
🕍	gyðingatrú, gyðingur, samkunduhús, sýnagóga, trúarbrögð
⛩️	hof, sjintó, sjintó-hof, trúarbrögð
🕋	kaaba-bygging, múslimi, trúarbrögð, íslam
⛲️	brunnur, gosbrunnur
⛺️	tjald, tjaldstæði, útilega
🌁	veður, þoka, þokukennt
🌃	næturhiminn, nótt, stjörnuhiminn, stjörnur
🏙️	borg, borgarlandslag, byggingar
🌄	fjall, morgunsól, sól kemur upp, sólarupprás yfir fjöllum
🌅	morgunsól, sólarupprás
🌆	borg, borg um kvöld, borg í rökkurró, borgarlandslag, kvöld, sólarlag
🌇	hús, rökkur, sólarlag, sólarlag yfir húsum
🌉	brú, brú um nótt, nótt
♨️	gufa, heitar laugar, heitt, uppsprettur
🎠	hestur, hringekja, hringekjuhestur, skemmtun
🎡	parísarhjól, skemmtigarður, skemmtun
🎢	rússíbani, skemmtigarður, skemmtun
💈	rakarastofa, rakari
🎪	sirkus, sirkustjald, skemmtun, tjald
🚂	eimreið, gufulest, lest
🚃	járnbrautarlest, lestarvagn, rafmagnslest
🚄	hraðlest, lest
🚅	hraðlest, háhraðalest, lest
🚆	járnbraut, lest
🚇️	farartæki, neðanjarðarlest
🚈	lest, létt, léttlest
🚉	lest, lestarstöð, stöð
🚊	farartæki, sporvagn, vagn
🚝	einteinungur, lest
🚞	fjall, fjallakláfur, fjallalest, kláfur, lest
🚋	farartæki, sporvagn, vagn
🚌	rúta, strætisvagn, strætó
🚍️	strætó, strætó nálgast, strætó á móti
🚎	rafknúinn strætisvagn, rafmagnsstrætó, strætó, trissustrætó
🚐	rúta, smárúta
🚑️	sjúkrabifreið, sjúkrabíll
🚒	brunabíll, slökkvibíll, slökkvilið, slökkviliðsbíll
🚓	lögregla, lögreglubifreið, lögreglubíll
🚔️	lögregla, lögreglubifreið, lögreglubíll, lögreglubíll á móti
🚕	leigubifreið, leigubíll
🚖	leigubíll, leigubíll nálgast, leigubíll á móti
🚗	bifreið, bíll
🚘️	bíll, bíll nálgast, bíll á móti
🚙	dægrastytting, farartæki, jeppi
🚚	flutningabifreið, flutningabíll, sendibíll
🚛	flutningabíll, trukkur, vörubifreið, vörubíll
🚜	dráttarvél, traktor
🏎️	bíll, kappakstur, kappakstursbíll
🏍️	kappakstur, mótorhjól
🛵	farartæki, hjól, mótorhjól, skellinaðra, vespa
🦽	aðgengi, hjólastóll
🦼	aðgengi, vélknúinn hj´ólastóll
🛺	túk-túk, vélknúinn léttvagn
🚲️	hjól, hjólreiðar, reiðhjól
🛴	farartæki, hjól, sparka, sparkhjól
🛹	bretti, hlaupabretti
🚏	langferðabíll, rúta, strætisvagn, strætó
🛣️	hraðbraut, vegur
🛤️	brautarteinar, járnbrautarteinar, lest
🛢️	olía, olíutunna, tunna
⛽️	bensín, bensíndæla, bensínstöð
🚨	lögregla, lögregluljós, sírena
🚥	ljós, lárétt umferðarljós, umferð
🚦	ljós, lóðrétt umferðarljós, umferð
🛑	merki, stopp, stöðvunarskylda, átthyrningur
🚧	framkvæmdir, vegavinna
⚓️	akkeri, skip, tól
⛵️	bátur, seglskúta, skúta, smábátahöfn
🛶	bátur, farartæki, kanó
🚤	bátur, hraðbátur, spíttbátur
🛳️	farartæki, farþegaskip, farþegi, skip
⛴️	bátur, ferja
🛥️	bátur, farartæki, mótorbátur
🚢	bátur, skip
✈️	farartæki, flugvél
🛩️	farartæki, flugvél, lítil flugvél
🛫	brottfarir, brottför, flugvél, flugvél í flugtaki, innritun
🛬	flugvél, flugvél í lendingu, komur, lendir
🪂	fallhlíf, fallhlífarsigling, fallhlífarstökk, svifdrekaflug
💺	stóll, sæti
🚁	þyrla
🚟	lest, loftlest
🚠	fjall, fjallakláfur, kláfferja í fjalli, kláfur
🚡	kláfferja á línu, kláfur, loftferja
🛰️	farartæki, geimur, gervihnöttur
🚀	eldflaug, farartæki, geimur
🛸	flj´úgandi furðuhlutur, fljúgandi diskur
🛎️	bjalla, hótel, hótelbjalla
🧳	farangur, ferðalag, pakka niður, taska
⌛️	niðurtalning, sandur, stundaglas
⏳️	niðurtalning, sandur, stundaglas, stundaglas með rennandi sandi
⌚️	klukka, úr
⏰	klukka, vekjaraklukka, vekjari
⏱️	klukka, skeiðklukka
⏲️	klukka, tímamælir
🕰️	klukka, stássklukka
🕛️	12:00, klukka, klukkan tólf, tólf
🕧	12:30, hálfeitt, klukka, tólf þrjátíu
🕐️	1:00, eitt, klukka, klukkan eitt
🕜	1:30, eitt þrjátíu, hálftvö, klukka
🕑️	2:00, klukka, klukkan tvö, tvö
🕝	2:30, hálfþrjú, klukka, tvö þrjátíu
🕒️	3:00, klukka, klukkan þrjú, þrjú
🕞	3:30, hálffjögur, klukka, þrjú þrjátíu
🕓️	4:00, fjögur, klukka, klukkan fjögur
🕟	4:30, fjögur þrjátíu, hálffimm, klukka
🕔️	5:00, fimm, klukka, klukkan fimm
🕠	5:30, fimm þrjátíu, hálfsex, klukka
🕕️	6:00, klukka, klukkan sex, sex
🕡	6:30, hálfsjö, klukka, sex þrjátíu
🕖️	7:00, klukka, klukkan sjö, sjö
🕢	7:30, hálfátta, klukka, sjö þrjátíu
🕗️	8:00, klukka, klukkan átta, átta
🕣	8:30, hálfníu, klukka, átta þrjátíu
🕘️	9:00, klukka, klukkan níu, níu
🕤	9:30, hálftíu, klukka, níu þrjátíu
🕙️	10:00, klukka, klukkan tíu, tíu
🕥	10:30, hálfellefu, klukka, tíu þrjátíu
🕚️	11:00, ellefu, klukka, klukkan ellefu
🕦	11:30, ellefu þrjátíu, hálftólf, klukka
🌑	dökkt, máni, nýr máni, nýtt, nýtt tungl, tungl
🌒	mánasigð, máni, tungl, vaxandi, vaxandi tungl (minna en hálft)
🌓	fyrsta kvartil tungls, máni, tungl, vaxandi hálfmáni
🌔	máni, tungl, vaxandi, vaxandi tungl (meira en hálft), ávalt tungl
🌕️	fullt, fullt tungl, máni, tungl
🌖	minnkandi, minnkandi tungl (meira en hálft), máni, tungl, ávalt tungl
🌗	hálfmáni, kvartil, máni, síðasta kvartil, tungl
🌘	hálfmáni, minnkandi, minnkandi tungl (minna en hálft), máni, tungl
🌙	hálfmáni, máni, tungl
🌚	andlit, karlinn í tunglinu, máni, nýtt tungl, nýtt tungl með andliti, tungl
🌛	andlit, fyrsta kvartil tungls, fyrsta kvartil tungls með andliti, máni, tungl, tunglsigð
🌜️	andlit, máni, síðasta kvartil tungls, síðasta kvartil tungls með andliti, tungl, tunglsigð
🌡️	hitamælir, veður
☀️	bjart, geislar, sól, sólargeislar, sólskin
🌝	andlit, bjart, fullt tungl, fullt tungl með andliti, máni, tungl
🌞	andlit, sól, sól með andliti
🪐	fálátur, pláneta með hringi, satúrnus
⭐️	hvít stjarna, stjarna
🌟	skínandi, skínandi stjarna, stjarna
🌠	stjarna, stjörnuhrap, óskastjarna
🌌	geimurinn, vetrarbrautin, veður
☁️	ský, skýjað, svart ský
⛅️	ský, sól, sól bakvið ský, sól og ský
⛈️	regn, ský, ský með eldingu og regni, veður, þruma
🌤️	ský, sól, sól á bak við ský, veður
🌥️	ský, sól, sól á bak við stórt ský, veður
🌦️	regn, ský, sól, sól á bak við regnský, veður
🌧️	regn, regnský, ský, veður
🌨️	kalt, ský, snjór, snjóský, veður
🌩️	elding, eldingarský, ský, veður
🌪️	hvirfilbylur, ský, skýstrókur, veður
🌫️	ský, veður, þoka
🌬️	andlit, blæs, ský, veðurandlit, vindur
🌀	fellibylur, hvirfilbylur, hvirfilvindur, snýst, stormsveipur
🌈	regn, regnbogi, veður
🌂	klæðnaður, lokuð regnhlíf, regnhlíf, rigning, samanlögð regnhlíf, veður
☂️	klæðnaður, regn, regnhlíf, veður
☔️	dropi, klæðnaður, regn, regnhlíf, regnhlíf með regndropum
⛱️	regn, regnhlíf, regnhlíf á jörðinni, sól, veður
⚡️	háspenna, lífshætta, rafmagn, spenna
❄️	kalt, snjókorn, snjór, veður
☃️	kalt, snjókarl í snjókomu, snjór, veður
⛄️	snjókall, snjókarl, snjór
☄️	farartæki, geimur, halastjarna
🔥	eldur, logi
💧	dropi, skrípó, smádropi, sviti
🌊	alda, bylgja
🎃	hrekkjavaka, hrekkjavökugrasker, hátíð
🎄	hátíð, jól, jólatré, tré
🎆	flugeldar, hátíð, áramót
🎇	blys, hátíð, stjörnuljós, áramót
🧨	dínamít, flugeldar, púðurkerling, sprengiefni
✨	glit, neistar, stjörnur
🎈	blaðra, veisla
🎉	hátíð, knall, veisla
🎊	confetti, pappírssnifsi, veisla, veisluskraut
🎋	Tanabata-tré, borði, fagnaður, japanskt, tanabata-tré, tré
🎍	blómaskreyting með furu, fura, hátíð, japanskt, áramót
🎎	brúðuhátíð, hátíð, japanskar brúður, japanskt
🎏	fiskveifur, hátíð, veifur
🎐	vindharpa, órói
🎑	hátíð, tungl, tunglskoðun, tunglskoðunarhátíð
🧧	gjöf, lai see, lukka, peningar, rautt umslag
🎀	borði, slaufa, veisla
🎁	gjöf, innpökkuð gjöf, veisla
🎗️	borði, fagnaður, minnisvarðaborði, minnisvarði
🎟️	aðgangseyrir, aðgöngumiði, miði
🎫	aðgöngumiði, miði, skemmtun
🎖️	fagnaður, her, hermedalía, medalía
🏆️	bikar, verðlaun, verðlaunabikar
🏅	medalía, íþróttamedalía
🥇	fyrsta, gull, gullverðlaun, sæti, verðlaun
🥈	annað sæti, silfur, silfurverðlaun, verðlaun
🥉	brons, bronsverðlaun, sæti, verðlaun, þriðja
⚽️	bolti, fótbolti
⚾️	bolti, hafnabolti
🥎	bolti, hanski, mjúkbolti, undirhandarkast
🏀	bolti, karfa, körfubolti, íþróttir
🏐	blak, bolti, leikur
🏈	amerískur fótbolti, bolti, ruðningur, íþrótt
🏉	bolti, rúgbíbolti, íþrótt
🎾	bolti, tennis, tennisbolti, tennisspaði og bolti, íþróttir
🥏	frisbí, frisbídiskur, ultimate
🎳	keila, keilukúla, keilur, leikur
🏏	bolti, krikket, kylfa, leikur
🏑	bolti, grashokkí, hokkí, kylfa, leikur, völlur
🏒	kylfa, leikur, pökkur, ís, íshokkí
🥍	bolti, háfleikur, kylfa, mark
🏓	bolti, borðtennis, leikur, spaði
🏸	badminton, badmintonbolti, fjaðrabolti, leikur, spaði
🥊	box, boxhanski, hanski, íþrótt
🥋	bardagabúningur, bardagaíþrótt, bardagi, júdó, íþrótt
🥅	fótbolti, mark, net, íþrótt
⛳️	flagg í holu, golf, golfhola, hola
⛸️	skauti, svell, ís
🎣	fiskur, stangveiði, veiðistöng
🤿	dýfingar, kafa, köfunargríma, snorkla
🎽	bolur, borði, hlaup, hlaupabolur, íþróttir
🎿	skíðaskór, skíði, skíði og skíðaskór, íþróttir
🛷	Sleði, sleði
🥌	krulla, krullusteinn, leikur, steinn
🎯	beint í mark, leikur, skotfimi, skotmark
🪀	jójó, leikfang
🪁	fljúga, flugdreki, svífa
🎱	biljarður, billjard, leikur, pool
🔮	kristall, kristalskúla, kúla, spá, spádómur
🧿	heillagripur, illt-auga, nazar, nazar verndargripur, perla, verndargripur
🎮️	leikjatölva, leikur, stýripinni, tölvuleikur
🕹️	leikur, stýripinni, tölvuleikur
🎰	leikur, spilakassi
🎲	leikur, spilateningur, teningur
🧩	krækja saman, púsl, púsluspil, vísbending
🧸	bangsi, dót, fínt, leikfang
♠️	leikur, spaði, spil, spilalitur
♥️	hjarta, leikur, spil, spilalitur
♦️	leikur, spil, spilalitur, tigull, tígull
♣️	lauf, leikur, spil, spilalitur
♟️	fórn, peð, skák, tafl, taflpeð
🃏	jóker, jókerspil, spil
🀄️	Mahjong-tafla, dreki, mahjong, rauður dreki
🎴	blóm, blómaspil, japanskur, leikur, spil
🎭️	leikhúsgrímur, leiklist, list, skemmtun, sviðslistir
🖼️	list, mynd, málverk, rammi, rammi með mynd, safn
🎨	list, listamaður, litapalletta, málning, palletta
🧵	kefli, nál, sauma, tvinni, þráður
🧶	garn, hekl, hespa, hnykill
👓️	augu, gleraugu, klæðnaður
🕶️	auga, dimmt, gleraugu, sólgleraugu
🥽	hlífðargleraugu, logsuða, rafsuða, sund
🥼	læknasloppur, læknir, tilraun, vísindamaður
🦺	neyðartilfelli, vesti, öryggi, öryggisvesti
👔	bindi, hálsbindi, klæðnaður
👕	bolur, klæðnaður, stuttermabolur
👖	buxur, gallabuxur, klæðnaður
🧣	háls, trefill
🧤	hanskar, hendi
🧥	jakki, kápa
🧦	háir sokkar, sokkar
👗	föt, kjóll, klæðnaður
👘	klæðnaður, kímónó, sloppur
🥻	föt, kjóll, klæðnaður, sari
🩱	sundbolur, sundföt
🩲	nærbuxur, nærföt, sundbolur, sundföt
🩳	buxur, nærbuxur, nærföt, stuttbuxur, sundföt
👙	bikíní, klæðnaður, sundföt
👚	föt, klæðnaður, kona, kvenföt
👛	budda, klæðnaður, peningabudda, smápeningar
👜	handtaska, klæðnaður, taska
👝	budda, klæðnaður, smáveski
🛍️	hótel, innkaupapoki, poki, verslunarleiðangur
🎒	skólataska, skóli, taska
👞	herraskór, karl, klæðnaður, skór
👟	klæðnaður, skór, strigaskór, íþróttaskór
🥾	bakpokaferðalag, fjallganga, gönguskór, tjaldferðalag
🥿	ballettskór, inniskór, lágbotna skór, skór
👠	háhælaður skór, klæðnaður, skór
👡	klæðnaður, kvensandali, kvenskór, sandali
