😀	πλατύ χαμόγελο, πρόσωπο, σαρκασμός
👫🏾	άντρας, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, ζευγάρι, κρατώ, μεσαίος-σκούρος τόνος δέρματος, πιασμένοι χέρι-χέρι, χέρι
👩🏾‍🤝‍👨🏿	άντρας, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, ζευγάρι, κρατώ, μεσαίος-σκούρος τόνος δέρματος, πιασμένοι χέρι-χέρι, σκούρος τόνος δέρματος, χέρι
👩🏿‍🤝‍👨🏻	άντρας, ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ζευγάρι, κρατώ, πιασμένοι χέρι-χέρι, σκούρος τόνος δέρματος, χέρι
👩🏿‍🤝‍👨🏼	άντρας, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ζευγάρι, κρατώ, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πιασμένοι χέρι-χέρι, σκούρος τόνος δέρματος, χέρι
👩🏿‍🤝‍👨🏽	άντρας, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος, ζευγάρι, κρατώ, μεσαίος τόνος δέρματος, πιασμένοι χέρι-χέρι, σκούρος τόνος δέρματος, χέρι
👩🏿‍🤝‍👨🏾	άντρας, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ζευγάρι, κρατώ, μεσαίος-σκούρος τόνος δέρματος, πιασμένοι χέρι-χέρι, σκούρος τόνος δέρματος, χέρι
👫🏿	άντρας, γυναίκα, γυναίκα και άντρας πιασμένοι χέρι-χέρι, γυναίκα και άντρας πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, ζευγάρι, κρατώ, πιασμένοι χέρι-χέρι, σκούρος τόνος δέρματος, χέρι
👬	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, δίδυμοι, ζευγάρι
👬🏻	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι
👨🏻‍🤝‍👨🏼	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👨🏻‍🤝‍👨🏽	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος
👨🏻‍🤝‍👨🏾	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-σκούρος τόνος δέρματος
👨🏻‍🤝‍👨🏿	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, σκούρος τόνος δέρματος
👨🏼‍🤝‍👨🏻	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👬🏼	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🤝‍👨🏽	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👨🏼‍🤝‍👨🏾	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
👨🏼‍🤝‍👨🏿	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος
👨🏽‍🤝‍👨🏻	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος
👨🏽‍🤝‍👨🏼	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👬🏽	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος
👨🏽‍🤝‍👨🏾	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
👨🏽‍🤝‍👨🏿	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος
👨🏾‍🤝‍👨🏻	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-σκούρος τόνος δέρματος
👨🏾‍🤝‍👨🏼	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
👨🏾‍🤝‍👨🏽	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
👬🏾	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-σκούρος τόνος δέρματος
👨🏾‍🤝‍👨🏿	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👨🏿‍🤝‍👨🏻	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, σκούρος τόνος δέρματος
👨🏿‍🤝‍👨🏼	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σκούρος τόνος δέρματος
👨🏿‍🤝‍👨🏽	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος τόνος δέρματος, σκούρος τόνος δέρματος
👨🏿‍🤝‍👨🏾	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, μεσαίος-σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
👬🏿	Δίδυμοι, άντρας, άντρες, άντρες πιασμένοι χέρι-χέρι, άντρες πιασμένοι χέρι-χέρι: σκούρος τόνος δέρματος, δίδυμοι, ζευγάρι, σκούρος τόνος δέρματος
💏	έρωτας, ζευγάρι, φιλί
👩‍❤‍💋‍👨	άντρας, έρωτας, γυναίκα, ζευγάρι, φιλί, φιλί: γυναίκα, άντρας
👨‍❤‍💋‍👨	άντρας, έρωτας, ζευγάρι, φιλί, φιλί: άντρας, άντρας
👩‍❤‍💋‍👩	έρωτας, γυναίκα, ζευγάρι, φιλί, φιλί: γυναίκα, γυναίκα
💑	έρωτας, αγάπη, ζευγάρι, ζευγάρι με καρδιά, καρδιά
👩‍❤‍👨	άντρας, έρωτας, αγάπη, γυναίκα, ζευγάρι, ζευγάρι με καρδιά, ζευγάρι με καρδιά: γυναίκα, άντρας, καρδιά
👨‍❤‍👨	άντρας, έρωτας, αγάπη, ζευγάρι, ζευγάρι με καρδιά, ζευγάρι με καρδιά: άντρας, άντρας, καρδιά
👩‍❤‍👩	έρωτας, αγάπη, γυναίκα, ζευγάρι, ζευγάρι με καρδιά, ζευγάρι με καρδιά: γυναίκα, γυναίκα, καρδιά
👪️	μητέρα, οικογένεια, παιδί, πατέρας
👨‍👩‍👦	άντρας, αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, αγόρι, παιδί, πατέρας
👨‍👩‍👧	άντρας, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, κορίτσι, παιδί, πατέρας
👨‍👩‍👧‍👦	άντρας, αγόρι, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, κορίτσι, αγόρι, παιδί, πατέρας
👨‍👩‍👦‍👦	άντρας, αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, αγόρι, αγόρι, παιδί, πατέρας
👨‍👩‍👧‍👧	άντρας, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, γυναίκα, κορίτσι, κορίτσι, παιδί, πατέρας
👨‍👨‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, αγόρι, παιδί, πατέρας
👨‍👨‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, κορίτσι, παιδί, πατέρας
👨‍👨‍👧‍👦	άντρας, αγόρι, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, κορίτσι, αγόρι, παιδί, πατέρας
👨‍👨‍👦‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, αγόρι, αγόρι, παιδί, πατέρας
👨‍👨‍👧‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, άντρας, κορίτσι, κορίτσι, παιδί, πατέρας
👩‍👩‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, αγόρι, παιδί, πατέρας
👩‍👩‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, κορίτσι, παιδί, πατέρας
👩‍👩‍👧‍👦	αγόρι, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, κορίτσι, αγόρι, παιδί, πατέρας
👩‍👩‍👦‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, αγόρι, αγόρι, παιδί, πατέρας
👩‍👩‍👧‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, γυναίκα, κορίτσι, κορίτσι, παιδί, πατέρας
👨‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, αγόρι, παιδί, πατέρας
👨‍👦‍👦	άντρας, αγόρι, μητέρα, οικογένεια, οικογένεια: άντρας, αγόρι, αγόρι, παιδί, πατέρας
👨‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, κορίτσι, παιδί, πατέρας
👨‍👧‍👦	άντρας, αγόρι, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, κορίτσι, αγόρι, παιδί, πατέρας
👨‍👧‍👧	άντρας, κορίτσι, μητέρα, οικογένεια, οικογένεια: άντρας, κορίτσι, κορίτσι, παιδί, πατέρας
👩‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, αγόρι, παιδί, πατέρας
👩‍👦‍👦	αγόρι, γυναίκα, μητέρα, οικογένεια, οικογένεια: γυναίκα, αγόρι, αγόρι, παιδί, πατέρας
👩‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, κορίτσι, παιδί, πατέρας
👩‍👧‍👦	αγόρι, γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, κορίτσι, αγόρι, παιδί, πατέρας
👩‍👧‍👧	γυναίκα, κορίτσι, μητέρα, οικογένεια, οικογένεια: γυναίκα, κορίτσι, κορίτσι, παιδί, πατέρας
🗣️	κεφάλι, κεφάλι που μιλάει, μιλώ, ομιλία, πρόσωπο, φιγούρα
👤	περίγραμμα προτομής, προτομή, φιγούρα
👥	περίγραμμα προτομών, προτομή, φιγούρα
🫂	άτομα αγκαλιάζονται, αγκαλιά, αντίο, γεια, ευχαριστώ
👣	ίχνος, πατημασιά, πατημασιές, ρουχισμός, σώμα
🦰	κοκκινομάλλης, κόκκινα μαλλιά, πυρρόξανθος
🦱	άφρο, μπούκλες, σγουρά, σγουρά μαλλιά
🦳	άσπρα, άσπρα μαλλιά, γκρίζα, ηλικιωμένος, λευκά, μαλλιά
🦲	καραφλός, ξυρισμένος, χημειοθεραπεία, χωρίς μαλλιά
🐵	μαϊμού, πρόσωπο, πρόσωπο μαϊμούς
🐒	μαϊμού
🦍	γορίλας, ζώο
🦧	ουρακοτάγκος, πίθηκος
🐶	κατοικίδιο, πρόσωπο, πρόσωπο σκύλου, σκύλος
🐕️	κατοικίδιο, σκύλος
🦮	οδηγός, προσβασιμότητα, σκύλος οδηγός, τυφλός
🐕‍🦺	βοήθεια, προσβασιμότητα, σκύλος, σκύλος βοηθός
🐩	κανίς, σκύλος
🐺	λύκος, πρόσωπο
🦊	αλεπού, ζώο, πρόσωπο, πρόσωπο αλεπούς
🦝	περίεργος, ρακούν, ύπουλος
🐱	γάτα, κατοικίδιο, πρόσωπο, πρόσωπο γάτας
🐈️	γάτα, κατοικίδιο
🐈‍⬛	γάτα, κακοτυχία, μαύρη, μαύρη γάτα
🦁	Λέων, ζώδιο, λιοντάρι, πρόσωπο, πρόσωπο λιονταριού
🐯	πρόσωπο, πρόσωπο τίγρης, τίγρης
🐅	τίγρη, τίγρης
🐆	λεοπάρδαλη
🐴	άλογο, πρόσωπο, πρόσωπο αλόγου
🐎	άλογο, άλογο κούρσας, αγώνας
🦄	μονόκερος, πρόσωπο, πρόσωπο μονόκερου
🦓	ζέβρα, ρίγα
🦌	ελάφι, ζώο
🦬	βίσωνας, βουβάλι, βόνασος, κοπάδι
🐮	αγελάδα, πρόσωπο, πρόσωπο αγελάδας
🐂	βόδι, ζώδιο, ταύρος
🐃	νεροβούβαλος, νερό
🐄	αγελάδα
🐷	γουρούνι, πρόσωπο, πρόσωπο γουρουνιού
🐖	γουρούνι
🐗	αγριογούρουνο, γουρούνι
🐽	γουρούνι, μύτη, μύτη γουρουνιού, πρόσωπο
🐏	Κριός, ζώδιο, κριάρι
🐑	πρόβατο
🐐	Αιγόκερως, ζώδιο, κατσίκα
🐪	καμήλα, καμπούρα
🐫	βακτριανή, βακτριανή καμήλα, καμήλα, καμπούρα
🦙	αλπάκα, βικούνια, γουανάκος, λάμα, μαλλί
🦒	καμηλοπάρδαλη, κηλίδες
🐘	ελέφαντας
🦣	εξαφάνιση, μαλλιαρός, μαμούθ, μεγάλο, χαυλιόδοντας
🦏	ζώο, ρινόκερος
🦛	ιπποπόταμος
🐭	ποντίκι, πρόσωπο, πρόσωπο ποντικιού
🐁	ποντίκι
🐀	αρουραίος
🐹	κατοικίδιο, πρόσωπο, χάμστερ
🐰	κατοικίδιο, κουνέλι, λαγός, πρόσωπο, πρόσωπο κουνελιού
🐇	κατοικίδιο, κουνέλι
🐿️	σκίουρος, σκιουράκι
🦫	κάστορας, φράγμα
🦔	ακανθώδης, σκαντζόχοιρος
🦇	βαμπίρ, ζώο, νυχτερίδα
🐻	αρκούδα, πρόσωπο, πρόσωπο αρκούδας
🐻‍❄	αρκούδα, αρκτική, λευκή, πολική αρκούδα
🐨	αρκούδα, κοάλα
🐼	πάντα, πρόσωπο
🦥	αργός, βραδύπους, νωθρός
🦦	βίδρα, παιχνιδιάρικο, ψαρεύω
🦨	βρώμα, μεφίτης
🦘	Αυστραλία, καγκουρό, μαρσιποφόρο, μωρό καγκουρό, πηδάω
🦡	ασβός, μελοασβός
🐾	ίχνη, ίχνη ζώου, πατημασιές, πατούσες
🦃	γαλοπούλα, πτηνό
🐔	κοτόπουλο, κότα, πτηνό
🐓	κόκορας, πτηνό
🐣	εκκολαπτόμενο, εκκολαπτόμενο κοτοπουλάκι, μωρό, πουλάκι, πτηνό
🐤	κοτοπουλάκι, μωρό, πτηνό
🐥	κοτοπουλάκι που κοιτά μπροστά, μωρό, πουλάκι, πτηνό
🐦️	πουλί
🐧	πιγκουίνος, πτηνό
🕊️	ειρήνη, περιστέρι, πετώ, πουλί
🦅	αετός, πτηνό
🦆	πάπια, πτηνό
🦢	ασχημόπαπο, κύκνος, μωρό κύκνου, πτηνό
🦉	κουκουβάγια, πτηνό, σοφός
🦤	Μαυρίκιος, εξαφάνιση, μεγάλο, ντόντο
🪶	ελαφρύ, πετάω, πτηνό, φτέρωμα, φτερό
🦩	επιδεικτικός, τροπικός, φλαμίνγκο
🦚	επιδειξιομανής, θηλυκό παγώνι, παγώνι, περήφανος, πουλί
🦜	μιλάω, παπαγάλος, πειρατής, πουλί
🐸	βάτραχος, πρόσωπο
🐊	κροκόδειλος
🐢	χελώνα
🦎	ερπετό, σαύρα
🐍	Οφιούχος, ζώδιο, κομιστής, φίδι
🐲	δράκος, παραμύθι, πρόσωπο, πρόσωπο δράκου
🐉	δράκος, παραμύθι
🦕	βραχιόσαυρος, βροντόσαυρος, διπλόδοκος, σαυρόποδο
🦖	τυραννόσαυρος
🐳	πετάω νερό, πρόσωπο, φάλαινα, φάλαινα που πετά νερό
🐋	φάλαινα
🐬	δελφίνι
🦭	θαλάσσιος λέοντας, φώκια
🐟️	ζώδιο, ιχθείς, ψάρι
🐠	τροπικό, τροπικό ψάρι, ψάρι
🐡	γουρουνόψαρο, φούσκα, ψάρι
🦈	καρχαρίας, ψάρι
🐙	χταπόδι
🐚	κοχύλι, σπειροειδές, σπειροειδές κοχύλι
🐌	σαλίγκαρος, σαλιγκάρι
🦋	έντομο, πεταλούδα, όμορφος
🐛	έντομο, κάμπια
🐜	έντομο, μυρμήγκι
🐝	έντομο, μέλισσα
🪲	έντομο, μαμούνι, σκαθάρι
🐞	έντομο, πασχαλίτσα, σκαθάρι
🦗	ακρίδα, τριζόνι
🪳	έντομο, κατσαρίδα
🕷️	έντομο, αράχνη
🕸️	αράχνη, ιστός, ιστός αράχνης
🦂	ζώδιο, σκορπιός
🦟	έντομο, αρρώστια, ελονοσία, ιός, κουνούπι, πυρετός
🪰	αλογόμυγα, αποσύνθεση, ασθένεια, μύγα, μύγα τσε-τσε
🪱	γαιοσκώληκας, δακτυλιοσκώληκας, παράσιτο, σκουλήκι
🦠	αμοιβάδα, βακτήρια, ιός, μικρόβιο
💐	λουλούδι, μπουκέτο λουλούδια, ρομαντισμός, φυτό
🌸	άνθος, άνθος κερασιάς, κερασιά, λουλούδι, φυτό
💮	λευκό λουλούδι, λουλούδι
🏵️	ροζέτα, φυτό
🌹	λουλούδι, τριαντάφυλλο, φυτό
🥀	λουλούδι, μαραμένο λουλούδι, μαραμένος
🌺	ιβίσκος, λουλούδι, φυτό
🌻	ηλιοτρόπιο, λουλούδι, φυτό
🌼	άνθος, λουλούδι, φυτό
🌷	λουλούδι, τουλίπα, φυτό
🌱	νέο, φιντάνι, φυτό
🪴	άχρηστο, βαρετό, καλλιεργώ, σπίτι, φυτρώνω, φυτό, φυτό σε γλάστρα
🌲	αειθαλές δέντρο, δέντρο, φυτό
🌳	δέντρο, ρίχνει τα φύλλα του, φυλλοβόλο, φυλλοβόλο δέντρο, φυτό
🌴	δέντρο, φοίνικας, φυτό
🌵	κάκτος, φυτό
🌾	ρύζι, φυτό, όρυζα
🌿	βότανο, φυτό, φύλλο
☘️	τριφύλλι, φυτό
🍀	4, τέσσερα, τετράφυλλο τριφύλλι, τριφύλλι, φυτό, φύλλο
🍁	πέφτει, σφένδαμος, φυτό, φύλλο, φύλλο σφενδάμου
🍂	πεσμένα φύλλα, πεσμένο, φυτό, φύλλο
🍃	άνεμος, αέρας, ανεμίζω, φυτό, φύλλα στον άνεμο, φύλλο
🍇	σταφύλι, φρούτο, φυτό
🍈	πεπόνι, φρούτο, φυτό
🍉	καρπούζι, φρούτο, φυτό
🍊	μανταρίνι, πορτοκάλι, φρούτο, φυτό
🍋	κίτρο, λεμόνι, φρούτο, φυτό
🍌	μπανάνα, φρούτο, φυτό
🍍	ανανάς, φρούτο, φυτό
🥭	μάνγκο, τροπικό, φρούτο
🍎	κόκκινο, κόκκινο μήλο, μήλο, φρούτο, φυτό
🍏	μήλο, πράσινο, πράσινο μήλο, φρούτο, φυτό
🍐	αχλάδι, φρούτο, φυτό
🍑	ροδάκινο, φρούτο, φυτό
🍒	κεράσι, κεράσια, φρούτο, φυτό
🍓	φράουλα, φρούτο, φυτό
🫐	μούρο, μπλε, μύρτιλο
🥝	ακτινίδιο, τροφή, φρούτο
🍅	λαχανικό, ντομάτα, φυτό
🫒	ελιά, φαγητό
🥥	καρύδα, πίνα κολάντα, φοίνικας
🥑	αβοκάντο, τροφή, φρούτο
🍆	λαχανικό, μελιτζάνα, φυτό
🥔	λαχανικό, πατάτα, τροφή
🥕	καρότο, λαχανικό, τροφή
🌽	αραβόσιτος, καλαμπόκι, φυτό
🌶️	καυτερή, καυτερή πιπεριά, πιπεριά, φυτό
🫑	λαχανικό, πιπεριά
🥒	αγγούρι, λαχανικό, πίκλα, τροφή
🥬	λάχανο, λαχανίδα, μαρούλι, μποκ τσόι, πράσινο φυλλώδες
🥦	άγριο λάχανο, μπρόκολο
🧄	άρωμα, γεύση, σκόρδο
🧅	άρωμα, γεύση, κρεμμύδι
🍄	μανιτάρι, φυτό
🥜	λαχανικό, ξηρός καρπός, τροφή, φιστίκι, φιστίκια
🌰	κάστανο, φυτό
🍞	φρατζόλα, ψωμί
🥐	γαλλικός, κρουασάν, τροφή, ψωμί
🥖	γαλλικός, μπαγκέτα, τροφή, ψωμί
🫓	αρέπα, λαβάς, πίτα, πίτα ψωμιού, ψωμί naan
🥨	πρέτσελ, στριφτό
🥯	μπέιγκελ, φούρνος
🥞	κέικ, κρέπα, τηγανίτα, τηγανίτες, τροφή
🧇	αναποφάσιστος, βάφλα, βαφλιέρα
🧀	κομμάτι τυρί, τυρί
🍖	κρέας, κόκκαλο, κότσι
🍗	κοτόπουλο, κόκκαλο, πουλερικό, πόδι, πόδι πουλερικού
🥩	αρνίσιο παϊδάκι, κομμάτι κρέας, μπριζόλα, παϊδάκι, χοιρινή μπριζόλα
🥓	κρέας, μπέικον, τροφή
🍔	χάμπουργκερ
🍟	πατάτες, τηγανητές πατάτες, τηγανιτές
🍕	κομμάτι, πίτσα, τυρί
🌭	λουκάνικο, φρανκφούρτης, χοτ ντογκ
🥪	σάντουιτς, ψωμί
🌮	μεξικάνικο, τάκο
🌯	μεξικάνικο, μπουρίτο
🫔	μεξικάνικο, ταμάλες, τυλιχτό
🥙	γεμιστή λαγάνα, γύρος, κεμπάπ, σάντουιτς, τροφή, φαλάφελ
🧆	κεφτές, ρεβίθι, φαλάφελ
🥚	αυγό, τροφή
🍳	αυγό, μαγείρεμα, τηγάνι, τηγανίζω
🥘	παέγια, ρηχός, τηγάνι, τροφή, ψητό
🍲	κατσαρόλα, κατσαρόλα με φαγητό, μαγειρευτό
🫕	ελβετικό, κατσαρόλα, λιωμένο, σοκολάτα, τυρί, φοντί
🥣	δημητριακά, μπολ με κουτάλι, πρωινό
🥗	πράσινη σαλάτα, σαλάτα, τροφή, χόρτα
🍿	ποπ κορν, ποπ-κορν
🧈	βούτυρο, γαλακτοκομικά
🧂	αλάτι, αλατιέρα, μπαχαρικό
🥫	κονσέρβα, κονσέρβα φαγητού
🍱	κουτί, κουτί φαγητού
🍘	κράκερ ρυζιού, μπισκότο, ρύζι
🍙	ιαπωνικό, μπάλα, μπάλα ρυζιού, ρύζι
🍚	μαγειρεμένο, μαγειρεμένο ρύζι, ρύζι
🍛	κάρυ, ρύζι, ρύζι με κάρυ
