😀	gezicht, grijns, grijnzend gezicht
🪓	bijl, hakken, hout, splijten
⛏️	gereedschap, mijnbouw, pikhouweel
⚒️	gereedschap, hamer, hamers, twee hamers
🛠️	gereedschap, hamer, hamer en moersleutel, moersleutel
🗡️	dolk, mes, wapen
⚔️	gekruiste zwaarden, wapen, zwaarden
🔫	pistool, revolver, wapen
🏹	boog, boogschutter, pijl, pijl en boog, wapen
🛡️	bescherming, schild
🔧	gereedschap, moersleutel
🔩	bout, bout en moer, gereedschap, moer
⚙️	gereedschap, tandwiel
🗜️	bankschroef, gereedschap, lijmklem
⚖️	gereedschap, gewichten, recht, weegschaal
🦯	blind, taststok, toegankelijkheid
🔗	schakels, twee ringen
⛓️	ketting, kettingen
🧰	gereedschap, gereedschapskist, kist, monteur
🧲	aantrekkingskracht, hoefijzer, magneet, magnetisch
⚗️	distilleerkolf, gereedschap, scheikunde
🧪	experiment, laboratorium, reageerbuis, scheikunde, scheikundige, wetenschap
🧫	bacterie, biologie, bioloog, cultuur, laboratorium, petrischaal
🧬	DNA, bioloog, evolutie, gen, genetica, leven
🔬	gereedschap, microscoop
🔭	gereedschap, telescoop
📡	antenne, satelliet, satellietschotel, schotel
💉	dokter, injectiespuit, medicijn, naald, spuit
🩸	bloeddonor, bloeddruppel, medicijnen, menstruatie
💊	dokter, medicijn, pil
🩹	pleister, verband
🩺	dokter, hart, medicijnen, ste­tho­scoop
🚪	deur
🛏️	bed, hotel, slapen
🛋️	bank, bank en lamp, hotel, lamp
🪑	hoge stoel, stoel, zitten
🚽	toilet, wc
🚿	douche, water
🛁	bad, badkuip
🪒	scheermes, scheren, scherp
🧴	hydraterende lotion, lotion, lotionfles, shampoo, zonnebrandolie
🧷	luier, punk, veiligheidsspeld
🧹	bezem, heks, schoonmaken, vegen
🧺	mand, oogsten, picknick, wasgoed
🧻	keukenrol, rol papier, wc-rol
🧼	baden, schoonmaken, schuim, stuk zeep, zeep, zeephouder
🧽	absorberend, poreus, schoonmaken, spons
🧯	blussen, brandblusapparaat, doven, vuur
🛒	shoppen, wagen, wagentje, winkelen, winkelwagen
🚬	roken, roken toegestaan, symbool
⚰️	dood, doodskist, kist
⚱️	as, dood, urn
🗿	beeld, moai, moai-beeld, paaseiliand
🏧	automaat, pinautomaat, pinnen
🚮	afval in prullenbak gooien, prullenbak, prullenbaksymbool, symbool
🚰	drinkwater, drinkwatersymbool
♿️	rolstoel, rolstoelsymbool, symbool, toegang
🚹️	Heren-wc, herentoilet, symbool
🚺️	Dames-wc, damestoilet, symbool
🚻	toilet, toiletten, wc
🚼️	baby, baby aan boord, babyruimte, babysymbool
🚾	toilet, wc
🛂	controle, paspoort, paspoortcontrole
🛃	douane
🛄	bagage, bagage afhalen
🛅	bagage, bagagekluis, bagageservice, koffers
⚠️	symbool, waarschuwing
🚸	kinderen, kinderoversteek, oversteek, symbool
⛔️	Verboden toegang, geen toegang, nee, symbool, verboden
🚫	Verboden toegang, symbool, verboden
🚳	fiets, fietsen niet toegestaan, geen fietsen, niet fietsen, voertuig
🚭️	niet roken, symbool
🚯	geen afval, geen afval weggooien, symbool
🚱	geen drinkwater, niet drinken, water
🚷	geen voetgangers, symbool, voetganger, voetgangers niet toegestaan, wandelaar
📵	geen mobiele telefoon, geen oproepen, mobiel, telefoon
🔞	18, niemand onder de 18, onder de 18, onder de 18 verboden
☢️	radioactief, symbool
☣️	bio, biologisch, biologisch gevaar, gevaar
⬆️	noord, omhoog, pijl, pijl omhoog
↗️	noordoost, pijl, pijl rechtsomhoog, rechtsboven, rechtsomhoog
➡️	oost, pijl, pijl naar rechts, rechts
↘️	pijl, pijl rechtsomlaag, rechtsbeneden, rechtsomlaag, zuidoost
⬇️	omlaag, pijl, pijl omlaag, zuid
↙️	linksbeneden, linksomlaag, pijl, pijl linksomlaag, zuidwest
⬅️	links, pijl, pijl naar links, west
↖️	linksboven, linksomhoog, noordwest, pijl, pijl linksomhoog
↕️	pijl, pijl omhoog en omlaag
↔️	pijl, pijl naar links en rechts
↩️	links, pijl, pijl naar rechts die naar links draait, rechts
↪️	links, pijl, pijl naar links die naar rechts draait, rechts
⤴️	omhoog, pijl, pijl naar rechts die omhoog draait, rechts
⤵️	omlaag, pijl, pijl naar rechts die omlaag draait, rechts
🔃	opnieuw laden-symbool, pijlen, verticale pijlen met de klok mee, verticale pijlen rechtsom
🔄	linksom, pijlen, pijlen tegen de klok in
🔙	BACK-pijl, linkerpijl, pijl, terug met linkerpijl, terugpijl
🔚	END-pijl, einde met linkerpijl, eindepijl, linkerpijl, pijl
🔛	AAN met uitroepteken en pijl, ON!-pijl, pijl, uitroep, uitroepteken
🔜	Binnenkort, Binnenkort met rechterpijl, SOON-pijl, pijl
🔝	Omhoog met pijl-omhoog, TOP-pijl, omhoog, pijl-omhoog
🛐	bidden, gebedsruimte, religie, tempel
⚛️	atoom, atoomsymbool, symbool
🕉️	hindoeïsme, om, om-symbool, religie
✡️	Jodenster, david, davidster, jodendom, joods, religie, ster
☸️	boeddhist, dharma, religie, wiel, wiel van dharma
☯️	religie, tao, taoïst, yang, yin, yin en yang
✝️	christelijk kruis, christendom, kruis, religie
☦️	christendom, kruis, religie, russisch kruis
☪️	islam, moslim, religie, wassende maan en ster
☮️	symbool, vrede, vredessymbool
🕎	joods, kandelaar, menora, religie
🔯	ster, waarzeggen, waarzeggerij, zes punten, zespuntige ster
♈️	ram (sterrenbeeld), sterrenbeeld
♉️	sterrenbeeld, stier (sterrenbeeld)
♊️	sterrenbeeld, tweelingen (sterrenbeeld)
♋️	kreeft (sterrenbeeld), sterrenbeeld
♌️	leeuw (sterrenbeeld), sterrenbeeld
♍️	maagd (sterrenbeeld), sterrenbeeld
♎️	sterrenbeeld, weegschaal (sterrenbeeld)
♏️	schorpioen (sterrenbeeld), sterrenbeeld
♐️	boogschutter (sterrenbeeld), sterrenbeeld
♑️	steenbok (sterrenbeeld), sterrenbeeld
♒️	sterrenbeeld, waterman (sterrenbeeld)
♓️	sterrenbeeld, vissen (sterrenbeeld)
⛎	slangendrager (sterrenbeeld), sterrenbeeld
🔀	gekruiste pijlen naar rechts, knop voor shuffle, pijlen, shuffle
🔁	herhalen, knop voor herhalen, pijlen, rechtsom
🔂	eenmaal, knop voor één herhalen, pijl, rechtsom
▶	afspelen, driehoek, knop voor afspelen, pijl, rechts
⏩	dubbele pijl rechts, knop voor snel vooruitspoelen, pijl, rechts
⏭	knop voor volgende nummer, pijlen, rechts, volgende
⏯	afspelen, knop voor afspelen of onderbreken, onderbreken, pijl, rechts
◀	achterstevoren, afspelen, knop voor terugspoelen, links, pijl
⏪	dubbele pijl links, knop voor versneld terugspoelen, links, pijl, terugspoelen
⏮	knop voor vorige nummer, pijl, vorige nummer
🔼	driehoek, knop voor omhoog, omhoog, pijl
⏫	dubbele pijl omhoog, knop voor versneld omhoog, omhoog, pijl
🔽	driehoek, knop voor omlaag, omlaag, pijl
⏬	dubbel, knop voor versneld omlaag, omlaag, pijl
⏸️	onderbreken, pauzeknop, pauzeren
⏹️	knop voor stoppen, stoppen, vierkant
⏺️	knop voor opnemen, opnemen, rondje
⏏️	knop voor uitwerpen, uitwerpen
🎦	film, filmsymbool, knop voor filmen
🔅	dimmen, helderheid, knop voor lagere helderheid, laag
🔆	helder, helderheid, knop voor hogere helderheid
📶	bereik, mobiel signaal, signaalsterkte
📳	mobiel, mobiele telefoon, modus, telefoon, trilstand
📴	mobiel, mobiele telefoon, mobiele telefoon uit, telefoon, telefoon uit, uit
♀️	symbool, teken, vrouw, vrouwelijkheidssymbool
♂️	man, mannelijkheidssymbool, symbool, teken
⚕️	dokter, esculaap
♾️	eeuwig, grenzeloos, oneindig, universeel
♻️	gevuld universeel recycling-symbool, recycling, recycling-symbool, symbool, universeel
⚜	fleur de lis, frans, franse lelie, symbool
🔱	anker, drietand, drietand-symbool, embleem
📛	badge, kaartje, naam, naamkaartje
🔰	Japans, beginner, groen en geel, groen en geel blad
⭕️	cirkel, groot, lege rode cirkel, o, rood
✅	knop, knop voor vinkje, teken, vinkje, ✓
☑️	vak, vinkje, vinkje in vak, ✓
✔️	teken, vinkje, ✓
✖️	annuleren, dikgedrukt vermenigvuldigingsteken, teken, vermenigvuldigen, vermenigvuldiging, vermenigvuldigingsteken, x, ×
❌	annuleren, kruis, teken, vermenigvuldigen, vermenigvuldiging, x, ×
❎	knop voor kruis, teken, vierkant, x, ×
➕	+, plus, plusteken, teken, wiskunde
➖	-, min, minteken, teken, wiskunde, −
➗	deelteken, delen, teken, wiskunde, ÷
➰	gedraaid, gekrulde lus, lus
➿	Japan, dubbele gekrulde lus, gekrulde lus, gratis bellen
〽️	markering, rolwisseling, rolwisselingsmarkering, teken
✳️	*, achtpuntige asterisk, asterisk
✴️	*, achtpuntige ster, ster
❇️	*, sprankelen, sprankeling
‼️	!, !!, dubbel uitroepteken, interpunctie, teken, uitroep
⁉️	!, !?, ?, in­ter­punc­tie, teken, uitroep, uitroepteken en vraagteken, vraag, vraagteken-uitroepteken
❓️	?, interpunctie, teken, vraag, vraagteken
❔	?, contour, interpunctie, teken, vraag, wit vraagteken
❕	!, contour, interpunctie, teken, uitroep, wit uitroepteken
❗️	!, interpunctie, teken, uitroep, uitroepteken
〰️	golvend, golvend streepje, lang geluid, streepje
©️	c, copyright
®️	gedeponeerd, r
™️	handelsmerk, handelsmerksymbool, symbool
#⃣	toets, toets: #
*⃣	toets, toets: *
0⃣	toets, toets: 0
1⃣	toets, toets: 1
2⃣	toets, toets: 2
3⃣	toets, toets: 3
4⃣	toets, toets: 4
5⃣	toets, toets: 5
6⃣	toets, toets: 6
7⃣	toets, toets: 7
8⃣	toets, toets: 8
9⃣	toets, toets: 9
🔟	toets, toets: 10
🔠	Latijns, hoofdletters, hoofdletters invoeren
🔡	Latijns, kleine letters, kleine letters Latijns, kleine letters invoeren
🔢	cijfers, cijfers invoeren
🔣	symbolen, symbolen invoeren
🔤	ABC, Latijns, Latijns alfabet, Latijns alfabet invoeren, Nederlands
🅰️	A, bloed, bloedgroep, bloedgroep A, groep A
🆎	AB, bloed, bloedgroep, bloedgroep AB, groep AB
🅱️	B, bloed, bloedgroep, bloedgroep B, groep B
🆑	Wissen-symbool, wisknop
🆒	COOL-knop, cool-symbool
🆓	FREE-knop, gratis-symbool, kosteloos, symbool
ℹ️	informatie, teken
🆔	ID, ID-symbool, identiteit, symbool
Ⓜ️	M in cirkel, cirkel, m
🆕	NEW-knop, Nieuw-symbool, symbool
🆖	NG-knop, Niet goed-symbool, symbool
🅾️	O, bloed, bloedgroep, bloedgroep O, groep O
🆗	OK-knop, OK-symbool
🅿️	P-knop, parkeerplaats
🆘	Help, SOS-knop, SOS-symbool, symbool
🆙	OMHOOG-symbool, UP!-knop, symbool
🆚	VS-knop, symbool, vs, vs-symbool
🈁	Japans woordteken voor ‘hier’, japans, koko, vierkant
🈂️	Japans teken voor ‘dienst’ of ‘dienstenheffing’, japans, sa, vierkant
🈷	Japans teken voor ‘maandelijks bedrag’, japans, maan, vierkant
🈶	Japans teken voor ‘niet gratis’, bestaan, japans, vierkant
🈯	Japans teken voor ‘gereserveerd’, japans, vierkant, vinger
🉐	Japans teken voor ‘koopje’, cirkel, japans, voordeel
🈹	Japans teken voor ‘korting’, japans, verdelen, vierkant
🈚	Japans teken voor ‘gratis’, japans, ontkenning, vierkant
🈲	Japans teken voor ‘verboden’, japans, verbieden, vierkant
🉑	Japans, Japans teken voor ‘acceptabel’, accepteren, rond
🈸	Japans, Japans teken voor ‘toepassing’, toepassen, vierkant
🈴	Japans, Japans teken voor ‘voldoende (cijfer)‘, samen, vierkant
🈳	Japans, Japans teken voor ‘plaats vrij’, leeg, vierkant
㊗️	Japans, Japans teken voor ‘gefeliciteerd’, cirkel, gefeliciteerd
㊙️	Japans, Japans teken voor ‘geheim’, cirkel, geheim
🈺	Japans, Japans teken voor ‘geopend’, vierkant, werkend
🈵	Japans, Japans teken voor ‘vol, geen plaats’, vierkant, volheid
🔴	cirkel, grote rode cirkel, rode cirkel, rood
🟠	cirkel, oranje, oranje cirkel
🟡	cirkel, geel, gele cirkel
🟢	cirkel, groen, groene cirkel
🔵	blauw, blauwe cirkel, cirkel, grote blauwe cirkel
🟣	cirkel, paars, paarse cirkel
🟤	bruin, bruine cirkel, cirkel
⚫️	cirkel, grote zwarte cirkel, zwart, zwarte cirkel
⚪️	cirkel, grote witte cirkel, wit, witte cirkel
🟥	rood, rood vierkant, vierkant
🟧	oranje, oranje vierkant, vierkant
🟨	geel, geel vierkant, vierkant
🟩	groen, groen vierkant, vierkant
🟦	blauw, blauw vierkant, vierkant
🟪	paars, paars vierkant, vierkant
🟫	bruin, bruin vierkant, vierkant
⬛️	groot, groot zwart vierkant, vierkant, zwart
⬜️	groot, groot wit vierkant, vierkant, wit
◼️	middelgroot, middelgroot zwart vierkant, vierkant, zwart
◻️	middelgroot, middelgroot wit vierkant, vierkant, wit
◾️	klein tot middelgroot zwart vierkant, redelijk klein, vierkant, zwart
◽️	klein tot middelgroot wit vierkant, redelijk klein, vierkant, wit
▪️	klein, klein zwart vierkant, vierkant, zwart
▫️	klein, klein wit vierkant, vierkant, wit
🔶	grote oranje ruit, oranje, ruit
🔷	blauw, grote blauwe ruit, ruit
🔸	kleine oranje ruit, oranje, ruit
🔹	blauw, kleine blauwe ruit, ruit
🔺	driehoek, rode omhoogwijzende driehoek, rood
🔻	driehoek, rode omlaagwijzende driehoek, rood
💠	bloem, emotie, ruit, ruitvorm, ruitvorm met stip erin, schattig
🔘	keuze, keuzerondje, rondje
🔳	knop, vierkant, witte vierkante knop
🔲	knop, vierkant, zwarte vierkante knop
🏁	geblokt, geblokte vlag, racen, sport, vlag
🚩	driehoekige locatievlag, driehoekige vlag, locatie, locatie-informatievlag, vlag
🎌	feest, gekruist, gekruiste vlaggen, japans, kruis
🏴	vlag, zwart, zwarte vlag
🏳️	vlag, wit, witte vlag
🏳‍🌈	regenboog, regenboogvlag, vlag
🏴‍☠	Jolly Roger, piraat, piratenvlag, plunderen, schat
🇦🇨	vlag, vlag: Ascension
🇦🇩	vlag, vlag: Andorra
🇦🇪	vlag, vlag: Verenigde Arabische Emiraten
🇦🇫	vlag, vlag: Afghanistan
🇦🇬	vlag, vlag: Antigua en Barbuda
🇦🇮	vlag, vlag: Anguilla
🇦🇱	vlag, vlag: Albanië
🇦🇲	vlag, vlag: Armenië
🇦🇴	vlag, vlag: Angola
🇦🇶	vlag, vlag: Antarctica
🇦🇷	vlag, vlag: Argentinië
🇦🇸	vlag, vlag: Amerikaans-Samoa
🇦🇹	vlag, vlag: Oostenrijk
🇦🇺	vlag, vlag: Australië
🇦🇼	vlag, vlag: Aruba
🇦🇽	vlag, vlag: Åland
🇦🇿	vlag, vlag: Azerbeidzjan
🇧🇦	vlag, vlag: Bosnië en Herzegovina
🇧🇧	vlag, vlag: Barbados
🇧🇩	vlag, vlag: Bangladesh
🇧🇪	vlag, vlag: België
🇧🇫	vlag, vlag: Burkina Faso
🇧🇬	vlag, vlag: Bulgarije
🇧🇭	vlag, vlag: Bahrein
🇧🇮	vlag, vlag: Burundi
🇧🇯	vlag, vlag: Benin
🇧🇱	vlag, vlag: Saint-Barthélemy
🇧🇲	vlag, vlag: Bermuda
🇧🇳	vlag, vlag: Brunei
🇧🇴	vlag, vlag: Bolivia
🇧🇶	vlag, vlag: Caribisch Nederland
🇧🇷	vlag, vlag: Brazilië
🇧🇸	vlag, vlag: Bahama’s
🇧🇹	vlag, vlag: Bhutan
🇧🇻	vlag, vlag: Bouveteiland
🇧🇼	vlag, vlag: Botswana
🇧🇾	vlag, vlag: Belarus
🇧🇿	vlag, vlag: Belize
🇨🇦	vlag, vlag: Canada
🇨🇨	vlag, vlag: Cocoseilanden
🇨🇩	vlag, vlag: Congo-Kinshasa
🇨🇫	vlag, vlag: Centraal-Afrikaanse Republiek
🇨🇬	vlag, vlag: Congo-Brazzaville
🇨🇭	vlag, vlag: Zwitserland
🇨🇮	vlag, vlag: Ivoorkust
🇨🇰	vlag, vlag: Cookeilanden
🇨🇱	vlag, vlag: Chili
🇨🇲	vlag, vlag: Kameroen
🇨🇳	vlag, vlag: China
🇨🇴	vlag, vlag: Colombia
🇨🇵	vlag, vlag: Clipperton
🇨🇷	vlag, vlag: Costa Rica
🇨🇺	vlag, vlag: Cuba
🇨🇻	vlag, vlag: Kaapverdië
🇨🇼	vlag, vlag: Curaçao
🇨🇽	vlag, vlag: Christmaseiland
🇨🇾	vlag, vlag: Cyprus
🇨🇿	vlag, vlag: Tsjechië
🇩🇪	vlag, vlag: Duitsland
🇩🇬	vlag, vlag: Diego Garcia
🇩🇯	vlag, vlag: Djibouti
🇩🇰	vlag, vlag: Denemarken
🇩🇲	vlag, vlag: Dominica
🇩🇴	vlag, vlag: Dominicaanse Republiek
🇩🇿	vlag, vlag: Algerije
🇪🇦	vlag, vlag: Ceuta en Melilla
🇪🇨	vlag, vlag: Ecuador
🇪🇪	vlag, vlag: Estland
🇪🇬	vlag, vlag: Egypte
🇪🇭	vlag, vlag: Westelijke Sahara
🇪🇷	vlag, vlag: Eritrea
🇪🇸	vlag, vlag: Spanje
🇪🇹	vlag, vlag: Ethiopië
🇪🇺	vlag, vlag: Europese Unie
🇫🇮	vlag, vlag: Finland
🇫🇯	vlag, vlag: Fiji
🇫🇰	vlag, vlag: Falklandeilanden
🇫🇲	vlag, vlag: Micronesia
🇫🇴	vlag, vlag: Faeröer
🇫🇷	vlag, vlag: Frankrijk
🇬🇦	vlag, vlag: Gabon
🇬🇧	vlag, vlag: Verenigd Koninkrijk
🇬🇩	vlag, vlag: Grenada
🇬🇪	vlag, vlag: Georgië
🇬🇫	vlag, vlag: Frans-Guyana
🇬🇬	vlag, vlag: Guernsey
🇬🇭	vlag, vlag: Ghana
🇬🇮	vlag, vlag: Gibraltar
🇬🇱	vlag, vlag: Groenland
🇬🇲	vlag, vlag: Gambia
🇬🇳	vlag, vlag: Guinee
🇬🇵	vlag, vlag: Guadeloupe
🇬🇶	vlag, vlag: Equatoriaal-Guinea
🇬🇷	vlag, vlag: Griekenland
🇬🇸	vlag, vlag: Zuid-Georgia en Zuidelijke Sandwicheilanden
🇬🇹	vlag, vlag: Guatemala
🇬🇺	vlag, vlag: Guam
🇬🇼	vlag, vlag: Guinee-Bissau
🇬🇾	vlag, vlag: Guyana
🇭🇰	vlag, vlag: Hongkong SAR van China
🇭🇲	vlag, vlag: Heard en McDonaldeilanden
🇭🇳	vlag, vlag: Honduras
🇭🇷	vlag, vlag: Kroatië
🇭🇹	vlag, vlag: Haïti
🇭🇺	vlag, vlag: Hongarije
🇮🇨	vlag, vlag: Canarische Eilanden
🇮🇩	vlag, vlag: Indonesië
🇮🇪	vlag, vlag: Ierland
🇮🇱	vlag, vlag: Israël
🇮🇲	vlag, vlag: Isle of Man
🇮🇳	vlag, vlag: India
🇮🇴	vlag, vlag: Brits Indische Oceaanterritorium
🇮🇶	vlag, vlag: Irak
🇮🇷	vlag, vlag: Iran
🇮🇸	vlag, vlag: IJsland
🇮🇹	vlag, vlag: Italië
🇯🇪	vlag, vlag: Jersey
🇯🇲	vlag, vlag: Jamaica
🇯🇴	vlag, vlag: Jordanië
🇯🇵	vlag, vlag: Japan
🇰🇪	vlag, vlag: Kenia
🇰🇬	vlag, vlag: Kirgizië
🇰🇭	vlag, vlag: Cambodja
🇰🇮	vlag, vlag: Kiribati
🇰🇲	vlag, vlag: Comoren
🇰🇳	vlag, vlag: Saint Kitts en Nevis
🇰🇵	vlag, vlag: Noord-Korea
🇰🇷	vlag, vlag: Zuid-Korea
🇰🇼	vlag, vlag: Koeweit
🇰🇾	vlag, vlag: Kaaimaneilanden
🇰🇿	vlag, vlag: Kazachstan
🇱🇦	vlag, vlag: Laos
🇱🇧	vlag, vlag: Libanon
🇱🇨	vlag, vlag: Saint Lucia
🇱🇮	vlag, vlag: Liechtenstein
🇱🇰	vlag, vlag: Sri Lanka
🇱🇷	vlag, vlag: Liberia
🇱🇸	vlag, vlag: Lesotho
🇱🇹	vlag, vlag: Litouwen
🇱🇺	vlag, vlag: Luxemburg
🇱🇻	vlag, vlag: Letland
🇱🇾	vlag, vlag: Libië
🇲🇦	vlag, vlag: Marokko
🇲🇨	vlag, vlag: Monaco
🇲🇩	vlag, vlag: Moldavië
🇲🇪	vlag, vlag: Montenegro
🇲🇫	vlag, vlag: Saint-Martin
🇲🇬	vlag, vlag: Madagaskar
🇲🇭	vlag, vlag: Marshalleilanden
🇲🇰	vlag, vlag: Noord-Macedonië
🇲🇱	vlag, vlag: Mali
🇲🇲	vlag, vlag: Myanmar (Birma)
🇲🇳	vlag, vlag: Mongolië
🇲🇴	vlag, vlag: Macau SAR van China
🇲🇵	vlag, vlag: Noordelijke Marianen
🇲🇶	vlag, vlag: Martinique
🇲🇷	vlag, vlag: Mauritanië
🇲🇸	vlag, vlag: Montserrat
🇲🇹	vlag, vlag: Malta
🇲🇺	vlag, vlag: Mauritius
🇲🇻	vlag, vlag: Maldiven
🇲🇼	vlag, vlag: Malawi
🇲🇽	vlag, vlag: Mexico
🇲🇾	vlag, vlag: Maleisië
🇲🇿	vlag, vlag: Mozambique
🇳🇦	vlag, vlag: Namibië
🇳🇨	vlag, vlag: Nieuw-Caledonië
🇳🇪	vlag, vlag: Niger
🇳🇫	vlag, vlag: Norfolk
🇳🇬	vlag, vlag: Nigeria
🇳🇮	vlag, vlag: Nicaragua
🇳🇱	vlag, vlag: Nederland
🇳🇴	vlag, vlag: Noorwegen
🇳🇵	vlag, vlag: Nepal
🇳🇷	vlag, vlag: Nauru
🇳🇺	vlag, vlag: Niue
🇳🇿	vlag, vlag: Nieuw-Zeeland
🇴🇲	vlag, vlag: Oman
🇵🇦	vlag, vlag: Panama
🇵🇪	vlag, vlag: Peru
🇵🇫	vlag, vlag: Frans-Polynesië
🇵🇬	vlag, vlag: Papoea-Nieuw-Guinea
🇵🇭	vlag, vlag: Filipijnen
🇵🇰	vlag, vlag: Pakistan
🇵🇱	vlag, vlag: Polen
🇵🇲	vlag, vlag: Saint-Pierre en Miquelon
🇵🇳	vlag, vlag: Pitcairneilanden
🇵🇷	vlag, vlag: Puerto Rico
🇵🇸	vlag, vlag: Palestijnse gebieden
🇵🇹	vlag, vlag: Portugal
🇵🇼	vlag, vlag: Palau
🇵🇾	vlag, vlag: Paraguay
🇶🇦	vlag, vlag: Qatar
🇷🇪	vlag, vlag: Réunion
🇷🇴	vlag, vlag: Roemenië
🇷🇸	vlag, vlag: Servië
🇷🇺	vlag, vlag: Rusland
