😀	бет, ырсай, ырсайган бет
👆🏽	кол, көрсөт, орточо, сөөмөй, сөөмөйү өйдө караган колдун арткы бети, сөөмөйү өйдө караган колдун арткы бети: орточо, өйдө
👆🏾	кара тору, кол, көрсөт, сөөмөй, сөөмөйү өйдө караган колдун арткы бети, сөөмөйү өйдө караган колдун арткы бети: кара тору, өйдө
👆🏿	кара, кол, көрсөт, сөөмөй, сөөмөйү өйдө караган колдун арткы бети, сөөмөйү өйдө караган колдун арткы бети: кара, өйдө
🖕	дене, кол, манжа, ортон
🖕🏻	акжуумал, дене, кол, манжа, ортон, ортон: акжуумал
🖕🏼	буудай жүздүү, дене, кол, манжа, ортон, ортон: буудай жүздүү
🖕🏽	дене, кол, манжа, ортон, ортон: орточо, орточо
🖕🏾	дене, кара тору, кол, манжа, ортон, ортон: кара тору
🖕🏿	дене, кара, кол, манжа, ортон, ортон: кара
👇️	кол, сөөмөй, төмөн, төмөн жакты көрсөткөн сөөмөй
👇🏻	акжуумал, кол, сөөмөй, төмөн, төмөн жакты көрсөткөн сөөмөй, төмөн жакты көрсөткөн сөөмөй: акжуумал
👇🏼	буудай жүздүү, кол, сөөмөй, төмөн, төмөн жакты көрсөткөн сөөмөй, төмөн жакты көрсөткөн сөөмөй: буудай жүздүү
👇🏽	кол, орточо, сөөмөй, төмөн, төмөн жакты көрсөткөн сөөмөй, төмөн жакты көрсөткөн сөөмөй: орточо
👇🏾	кара тору, кол, сөөмөй, төмөн, төмөн жакты көрсөткөн сөөмөй, төмөн жакты көрсөткөн сөөмөй: кара тору
👇🏿	кара, кол, сөөмөй, төмөн, төмөн жакты көрсөткөн сөөмөй, төмөн жакты көрсөткөн сөөмөй: кара
☝️	кол, көрсөт, сөөмөйү өйдө караган кол, өйдө, өйдө жакты көрсөткөн сөөмөй
☝🏻	акжуумал, кол, көрсөт, сөөмөйү өйдө караган кол, өйдө, өйдө жакты көрсөткөн сөөмөй, өйдө жакты көрсөткөн сөөмөй: акжуумал
☝🏼	буудай жүздүү, кол, көрсөт, сөөмөйү өйдө караган кол, өйдө, өйдө жакты көрсөткөн сөөмөй, өйдө жакты көрсөткөн сөөмөй: буудай жүздүү
☝🏽	кол, көрсөт, орточо, сөөмөйү өйдө караган кол, өйдө, өйдө жакты көрсөткөн сөөмөй, өйдө жакты көрсөткөн сөөмөй: орточо
☝🏾	кара тору, кол, көрсөт, сөөмөйү өйдө караган кол, өйдө, өйдө жакты көрсөткөн сөөмөй, өйдө жакты көрсөткөн сөөмөй: кара тору
☝🏿	кара, кол, көрсөт, сөөмөйү өйдө караган кол, өйдө, өйдө жакты көрсөткөн сөөмөй, өйдө жакты көрсөткөн сөөмөй: кара
👍️	-1, «начар», «сонун», бармак, жогору, кол
👍🏻	-1, «начар», «сонун», «сонун»: акжуумал, акжуумал, бармак, жогору, кол
👍🏼	-1, «начар», «сонун», «сонун»: буудай жүздүү, бармак, буудай жүздүү, жогору, кол
👍🏽	-1, «начар», «сонун», «сонун»: орточо, бармак, жогору, кол, орточо
👍🏾	-1, «начар», «сонун», «сонун»: кара тору, бармак, жогору, кара тору, кол
👍🏿	-1, «начар», «сонун», «сонун»: кара, бармак, жогору, кара, кол
👎️	-1, «начар», бармак, кол, төмөн
👎🏻	-1, «начар», «начар»: акжуумал, акжуумал, бармак, кол, төмөн
👎🏼	-1, «начар», «начар»: буудай жүздүү, бармак, буудай жүздүү, кол, төмөн
👎🏽	-1, «начар», «начар»: орточо, бармак, кол, орточо, төмөн
👎🏾	-1, «начар», «начар»: кара тору, бармак, кара тору, кол, төмөн
