😀	fjes, glis, glisefjes
🕵‍♀	etterforske, forbrytelse, kvinne, kvinnelig detektiv, privatdetektiv
🕵🏻‍♀	etterforske, forbrytelse, hudtype 1–2, kvinne, kvinnelig detektiv, kvinnelig detektiv: hudtype 1–2, privatdetektiv
🕵🏼‍♀	etterforske, forbrytelse, hudtype 3, kvinne, kvinnelig detektiv, kvinnelig detektiv: hudtype 3, privatdetektiv
🕵🏽‍♀	etterforske, forbrytelse, hudtype 4, kvinne, kvinnelig detektiv, kvinnelig detektiv: hudtype 4, privatdetektiv
🕵🏾‍♀	etterforske, forbrytelse, hudtype 5, kvinne, kvinnelig detektiv, kvinnelig detektiv: hudtype 5, privatdetektiv
🕵🏿‍♀	etterforske, forbrytelse, hudtype 6, kvinne, kvinnelig detektiv, kvinnelig detektiv: hudtype 6, privatdetektiv
💂	gardist, menneske, vaktmann
💂🏻	gardist, gardist: hudtype 1–2, hudtype 1–2, menneske, vaktmann
💂🏼	gardist, gardist: hudtype 3, hudtype 3, menneske, vaktmann
💂🏽	gardist, gardist: hudtype 4, hudtype 4, menneske, vaktmann
💂🏾	gardist, gardist: hudtype 5, hudtype 5, menneske, vaktmann
💂🏿	gardist, gardist: hudtype 6, hudtype 6, menneske, vaktmann
💂‍♂	England, garde, gardist, mann, mannlig gardist
💂🏻‍♂	England, garde, gardist, hudtype 1–2, mann, mannlig gardist, mannlig gardist: hudtype 1–2
💂🏼‍♂	England, garde, gardist, hudtype 3, mann, mannlig gardist, mannlig gardist: hudtype 3
💂🏽‍♂	England, garde, gardist, hudtype 4, mann, mannlig gardist, mannlig gardist: hudtype 4
💂🏾‍♂	England, garde, gardist, hudtype 5, mann, mannlig gardist, mannlig gardist: hudtype 5
💂🏿‍♂	England, garde, gardist, hudtype 6, mann, mannlig gardist, mannlig gardist: hudtype 6
💂‍♀	England, garde, gardist, kvinne, kvinnelig gardist
💂🏻‍♀	England, garde, gardist, hudtype 1–2, kvinne, kvinnelig gardist, kvinnelig gardist: hudtype 1–2
💂🏼‍♀	England, garde, gardist, hudtype 3, kvinne, kvinnelig gardist, kvinnelig gardist: hudtype 3
💂🏽‍♀	England, garde, gardist, hudtype 4, kvinne, kvinnelig gardist, kvinnelig gardist: hudtype 4
💂🏾‍♀	England, garde, gardist, hudtype 5, kvinne, kvinnelig gardist, kvinnelig gardist: hudtype 5
💂🏿‍♀	England, garde, gardist, hudtype 6, kvinne, kvinnelig gardist, kvinnelig gardist: hudtype 6
👷	anlegg, anleggsarbeider, arbeider, ingeniør, menneske
👷🏻	anlegg, anleggsarbeider, anleggsarbeider: hudtype 1–2, arbeider, hudtype 1–2, ingeniør, menneske
👷🏼	anlegg, anleggsarbeider, anleggsarbeider: hudtype 3, arbeider, hudtype 3, ingeniør, menneske
👷🏽	anlegg, anleggsarbeider, anleggsarbeider: hudtype 4, arbeider, hudtype 4, ingeniør, menneske
👷🏾	anlegg, anleggsarbeider, anleggsarbeider: hudtype 5, arbeider, hudtype 5, ingeniør, menneske
👷🏿	anlegg, anleggsarbeider, anleggsarbeider: hudtype 6, arbeider, hudtype 6, ingeniør, menneske
👷‍♂	anlegg, arbeider, bygg, ingeniør, mann, mannlig anleggsarbeider
👷🏻‍♂	anlegg, arbeider, bygg, hudtype 1–2, ingeniør, mann, mannlig anleggsarbeider, mannlig anleggsarbeider: hudtype 1–2
👷🏼‍♂	anlegg, arbeider, bygg, hudtype 3, ingeniør, mann, mannlig anleggsarbeider, mannlig anleggsarbeider: hudtype 3
👷🏽‍♂	anlegg, arbeider, bygg, hudtype 4, ingeniør, mann, mannlig anleggsarbeider, mannlig anleggsarbeider: hudtype 4
👷🏾‍♂	anlegg, arbeider, bygg, hudtype 5, ingeniør, mann, mannlig anleggsarbeider, mannlig anleggsarbeider: hudtype 5
👷🏿‍♂	anlegg, arbeider, bygg, hudtype 6, ingeniør, mann, mannlig anleggsarbeider, mannlig anleggsarbeider: hudtype 6
👷‍♀	anlegg, arbeider, bygg, ingeniør, kvinne, kvinnelig anleggsarbeider
👷🏻‍♀	anlegg, arbeider, bygg, hudtype 1–2, ingeniør, kvinne, kvinnelig anleggsarbeider, kvinnelig anleggsarbeider: hudtype 1–2
👷🏼‍♀	anlegg, arbeider, bygg, hudtype 3, ingeniør, kvinne, kvinnelig anleggsarbeider, kvinnelig anleggsarbeider: hudtype 3
👷🏽‍♀	anlegg, arbeider, bygg, hudtype 4, ingeniør, kvinne, kvinnelig anleggsarbeider, kvinnelig anleggsarbeider: hudtype 4
👷🏾‍♀	anlegg, arbeider, bygg, hudtype 5, ingeniør, kvinne, kvinnelig anleggsarbeider, kvinnelig anleggsarbeider: hudtype 5
👷🏿‍♀	anlegg, arbeider, bygg, hudtype 6, ingeniør, kvinne, kvinnelig anleggsarbeider, kvinnelig anleggsarbeider: hudtype 6
🤴	prins
🤴🏻	hudtype 1–2, prins, prins: hudtype 1–2
🤴🏼	hudtype 3, prins, prins: hudtype 3
🤴🏽	hudtype 4, prins, prins: hudtype 4
🤴🏾	hudtype 5, prins, prins: hudtype 5
🤴🏿	hudtype 6, prins, prins: hudtype 6
👸	eventyr, menneske, prinsesse
👸🏻	eventyr, hudtype 1–2, menneske, prinsesse, prinsesse: hudtype 1–2
👸🏼	eventyr, hudtype 3, menneske, prinsesse, prinsesse: hudtype 3
👸🏽	eventyr, hudtype 4, menneske, prinsesse, prinsesse: hudtype 4
👸🏾	eventyr, hudtype 5, menneske, prinsesse, prinsesse: hudtype 5
👸🏿	eventyr, hudtype 6, menneske, prinsesse, prinsesse: hudtype 6
👳	menneske, turbankledd person
👳🏻	hudtype 1–2, menneske, turbankledd person, turbankledd person: hudtype 1–2
👳🏼	hudtype 3, menneske, turbankledd person, turbankledd person: hudtype 3
👳🏽	hudtype 4, menneske, turbankledd person, turbankledd person: hudtype 4
👳🏾	hudtype 5, menneske, turbankledd person, turbankledd person: hudtype 5
👳🏿	hudtype 6, menneske, turbankledd person, turbankledd person: hudtype 6
👳‍♂	mann, turban, turbankledd mann
👳🏻‍♂	hudtype 1–2, mann, turban, turbankledd mann, turbankledd mann: hudtype 1–2
👳🏼‍♂	hudtype 3, mann, turban, turbankledd mann, turbankledd mann: hudtype 3
👳🏽‍♂	hudtype 4, mann, turban, turbankledd mann, turbankledd mann: hudtype 4
👳🏾‍♂	hudtype 5, mann, turban, turbankledd mann, turbankledd mann: hudtype 5
👳🏿‍♂	hudtype 6, mann, turban, turbankledd mann, turbankledd mann: hudtype 6
👳‍♀	kvinne, turban, turbankledd kvinne
👳🏻‍♀	hudtype 1–2, kvinne, turban, turbankledd kvinne, turbankledd kvinne: hudtype 1–2
👳🏼‍♀	hudtype 3, kvinne, turban, turbankledd kvinne, turbankledd kvinne: hudtype 3
👳🏽‍♀	hudtype 4, kvinne, turban, turbankledd kvinne, turbankledd kvinne: hudtype 4
👳🏾‍♀	hudtype 5, kvinne, turban, turbankledd kvinne, turbankledd kvinne: hudtype 5
👳🏿‍♀	hudtype 6, kvinne, turban, turbankledd kvinne, turbankledd kvinne: hudtype 6
👲	gua pi mao, hatt, lue, mann, mann med kinesisk lue, menneske
👲🏻	gua pi mao, hatt, hudtype 1–2, lue, mann, mann med kinesisk lue, mann med kinesisk lue: hudtype 1–2, menneske
👲🏼	gua pi mao, hatt, hudtype 3, lue, mann, mann med kinesisk lue, mann med kinesisk lue: hudtype 3, menneske
👲🏽	gua pi mao, hatt, hudtype 4, lue, mann, mann med kinesisk lue, mann med kinesisk lue: hudtype 4, menneske
👲🏾	gua pi mao, hatt, hudtype 5, lue, mann, mann med kinesisk lue, mann med kinesisk lue: hudtype 5, menneske
👲🏿	gua pi mao, hatt, hudtype 6, lue, mann, mann med kinesisk lue, mann med kinesisk lue: hudtype 6, menneske
🧕	hijab, hodeskjerf, hodeslør, kvinne med hodeslør, muslim
🧕🏻	hijab, hodeskjerf, hodeslør, hudtype 1–2, kvinne med hodeslør, kvinne med hodeslør: hudtype 1–2, muslim
🧕🏼	hijab, hodeskjerf, hodeslør, hudtype 3, kvinne med hodeslør, kvinne med hodeslør: hudtype 3, muslim
🧕🏽	hijab, hodeskjerf, hodeslør, hudtype 4, kvinne med hodeslør, kvinne med hodeslør: hudtype 4, muslim
🧕🏾	hijab, hodeskjerf, hodeslør, hudtype 5, kvinne med hodeslør, kvinne med hodeslør: hudtype 5, muslim
🧕🏿	hijab, hodeskjerf, hodeslør, hudtype 6, kvinne med hodeslør, kvinne med hodeslør: hudtype 6, muslim
🤵	brudgom, mann, mann i smoking, smoking
🤵🏻	brudgom, hudtype 1–2, mann, mann i smoking, mann i smoking: hudtype 1–2, smoking
🤵🏼	brudgom, hudtype 3, mann, mann i smoking, mann i smoking: hudtype 3, smoking
🤵🏽	brudgom, hudtype 4, mann, mann i smoking, mann i smoking: hudtype 4, smoking
🤵🏾	brudgom, hudtype 5, mann, mann i smoking, mann i smoking: hudtype 5, smoking
🤵🏿	brudgom, hudtype 6, mann, mann i smoking, mann i smoking: hudtype 6, smoking
👰	brud, brud med slør, bryllup, mennesker, slør
👰🏻	brud, brud med slør, brud: hudtype 1–2, bryllup, hudtype 1–2, mennesker, slør
👰🏼	brud, brud med slør, brud: hudtype 3, bryllup, hudtype 3, mennesker, slør
👰🏽	brud, brud med slør, brud: hudtype 4, bryllup, hudtype 4, mennesker, slør
👰🏾	brud, brud med slør, brud: hudtype 5, bryllup, hudtype 5, mennesker, slør
👰🏿	brud, brud med slør, brud: hudtype 6, bryllup, hudtype 6, mennesker, slør
🤰	gravid, gravid kvinne, kvinne
🤰🏻	gravid, gravid kvinne: hudtype 1–2, hudtype 1–2, kvinne
🤰🏼	gravid, gravid kvinne: hudtype 3, hudtype 3, kvinne
🤰🏽	gravid, gravid kvinne: hudtype 4, hudtype 4, kvinne
🤰🏾	gravid, gravid kvinne: hudtype 5, hudtype 5, kvinne
🤰🏿	gravid, gravid kvinne: hudtype 6, hudtype 6, kvinne
🤱	ammer, amming, baby, bryst, morsmelk
🤱🏻	ammer, ammer: hudtype 1–2, amming, baby, bryst, hudtype 1–2, morsmelk
🤱🏼	ammer, ammer: hudtype 3, amming, baby, bryst, hudtype 3, morsmelk
🤱🏽	ammer, ammer: hudtype 4, amming, baby, bryst, hudtype 4, morsmelk
🤱🏾	ammer, ammer: hudtype 5, amming, baby, bryst, hudtype 5, morsmelk
🤱🏿	ammer, ammer: hudtype 6, amming, baby, bryst, hudtype 6, morsmelk
👼	ansikt, babyengel, engel, eventyr
👼🏻	ansikt, babyengel, babyengel: hudtype 1–2, engel, eventyr, hudtype 1–2
👼🏼	ansikt, babyengel, babyengel: hudtype 3, engel, eventyr, hudtype 3
👼🏽	ansikt, babyengel, babyengel: hudtype 4, engel, eventyr, hudtype 4
👼🏾	ansikt, babyengel, babyengel: hudtype 5, engel, eventyr, hudtype 5
👼🏿	ansikt, babyengel, babyengel: hudtype 6, engel, eventyr, hudtype 6
🎅	feiring, jul, julenissen, nissefar, nissen
🎅🏻	feiring, hudtype 1–2, jul, julenissen, julenissen: hudtype 1–2, nissefar, nissen
🎅🏼	feiring, hudtype 3, jul, julenissen, julenissen: hudtype 3, nissefar, nissen
🎅🏽	feiring, hudtype 4, jul, julenissen, julenissen: hudtype 4, nissefar, nissen
🎅🏾	feiring, hudtype 5, jul, julenissen, julenissen: hudtype 5, nissefar, nissen
🎅🏿	feiring, hudtype 6, jul, julenissen, julenissen: hudtype 6, nissefar, nissen
🤶	jul, julenissemor, mor, nisse
🤶🏻	hudtype 1–2, jul, julenissemor, julenissemor: hudtype 1–2, mor, nisse
🤶🏼	hudtype 3, jul, julenissemor, julenissemor: hudtype 3, mor, nisse
🤶🏽	hudtype 4, jul, julenissemor, julenissemor: hudtype 4, mor, nisse
🤶🏾	hudtype 5, jul, julenissemor, julenissemor: hudtype 5, mor, nisse
🤶🏿	hudtype 6, jul, julenissemor, julenissemor: hudtype 6, mor, nisse
🦸	god, helt, heltinne, superhelt, superkrefter
🦸🏻	god, helt, heltinne, hudtype 1–2, superhelt, superhelt: hudtype 1–2, superkrefter
🦸🏼	god, helt, heltinne, hudtype 3, superhelt, superhelt: hudtype 3, superkrefter
🦸🏽	god, helt, heltinne, hudtype 4, superhelt, superhelt: hudtype 4, superkrefter
🦸🏾	god, helt, heltinne, hudtype 5, superhelt, superhelt: hudtype 5, superkrefter
🦸🏿	god, helt, heltinne, hudtype 6, superhelt, superhelt: hudtype 6, superkrefter
🦸‍♂	god, helt, mann, mannlig superhelt, superkrefter
🦸🏻‍♂	god, helt, hudtype 1–2, mann, mannlig superhelt, mannlig superhelt: hudtype 1–2, superkrefter
🦸🏼‍♂	god, helt, hudtype 3, mann, mannlig superhelt, mannlig superhelt: hudtype 3, superkrefter
🦸🏽‍♂	god, helt, hudtype 4, mann, mannlig superhelt, mannlig superhelt: hudtype 4, superkrefter
🦸🏾‍♂	god, helt, hudtype 5, mann, mannlig superhelt, mannlig superhelt: hudtype 5, superkrefter
🦸🏿‍♂	god, helt, hudtype 6, mann, mannlig superhelt, mannlig superhelt: hudtype 6, superkrefter
🦸‍♀	god, helt, heltinne, kvinne, kvinnelig superhelt, superkrefter
🦸🏻‍♀	god, helt, heltinne, hudtype 1–2, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 1–2, superkrefter
🦸🏼‍♀	god, helt, heltinne, hudtype 3, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 3, superkrefter
🦸🏽‍♀	god, helt, heltinne, hudtype 4, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 4, superkrefter
🦸🏾‍♀	god, helt, heltinne, hudtype 5, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 5, superkrefter
🦸🏿‍♀	god, helt, heltinne, hudtype 6, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 6, superkrefter
🦹	kriminell, ond, skurk, superkrefter, superskurk
🦹🏻	hudtype 1–2, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 1–2
🦹🏼	hudtype 3, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 3
🦹🏽	hudtype 4, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 4
🦹🏾	hudtype 5, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 5
🦹🏿	hudtype 6, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 6
🦹‍♂	kriminell, mann, mannlig superskurk, ond, skurk, superkrefter
🦹🏻‍♂	hudtype 1–2, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 1–2, ond, skurk, superkrefter
🦹🏼‍♂	hudtype 3, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 3, ond, skurk, superkrefter
🦹🏽‍♂	hudtype 4, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 4, ond, skurk, superkrefter
🦹🏾‍♂	hudtype 5, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 5, ond, skurk, superkrefter
🦹🏿‍♂	hudtype 6, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 6, ond, skurk, superkrefter
🦹‍♀	kriminell, kvinne, kvinnelig superskurk, ond, skurk, superkrefter
🦹🏻‍♀	hudtype 1–2, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 1–2, ond, skurk, superkrefter
🦹🏼‍♀	hudtype 3, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 3, ond, skurk, superkrefter
🦹🏽‍♀	hudtype 4, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 4, ond, skurk, superkrefter
🦹🏾‍♀	hudtype 5, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 5, ond, skurk, superkrefter
🦹🏿‍♀	hudtype 6, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 6, ond, skurk, superkrefter
🧙	heks, trollkvinne, trollmann, trollperson
🧙🏻	heks, hudtype 1–2, trollkvinne, trollmann, trollperson, trollperson: hudtype 1–2
🧙🏼	heks, hudtype 3, trollkvinne, trollmann, trollperson, trollperson: hudtype 3
🧙🏽	heks, hudtype 4, trollkvinne, trollmann, trollperson, trollperson: hudtype 4
🧙🏾	heks, hudtype 5, trollkvinne, trollmann, trollperson, trollperson: hudtype 5
🧙🏿	heks, hudtype 6, trollkvinne, trollmann, trollperson, trollperson: hudtype 6
🧙‍♂	heksemester, trollmann
🧙🏻‍♂	heksemester, hudtype 1–2, trollmann, trollmann: hudtype 1–2
🧙🏼‍♂	heksemester, hudtype 3, trollmann, trollmann: hudtype 3
🧙🏽‍♂	heksemester, hudtype 4, trollmann, trollmann: hudtype 4
🧙🏾‍♂	heksemester, hudtype 5, trollmann, trollmann: hudtype 5
🧙🏿‍♂	heksemester, hudtype 6, trollmann, trollmann: hudtype 6
🧙‍♀	heks, trollkvinne
🧙🏻‍♀	heks, hudtype 1–2, trollkvinne, trollkvinne: hudtype 1–2
🧙🏼‍♀	heks, hudtype 3, trollkvinne, trollkvinne: hudtype 3
🧙🏽‍♀	heks, hudtype 4, trollkvinne, trollkvinne: hudtype 4
🧙🏾‍♀	heks, hudtype 5, trollkvinne, trollkvinne: hudtype 5
🧙🏿‍♀	heks, hudtype 6, trollkvinne, trollkvinne: hudtype 6
🧚	Oberon, Puck, Titania, fe
🧚🏻	Oberon, Puck, Titania, fe, fe: hudtype 1–2, hudtype 1–2
🧚🏼	Oberon, Puck, Titania, fe, fe: hudtype 3, hudtype 3
🧚🏽	Oberon, Puck, Titania, fe, fe: hudtype 4, hudtype 4
🧚🏾	Oberon, Puck, Titania, fe, fe: hudtype 5, hudtype 5
🧚🏿	Oberon, Puck, Titania, fe, fe: hudtype 6, hudtype 6
🧚‍♂	Oberon, Puck, fe, mannlig fe
🧚🏻‍♂	Oberon, Puck, fe, hudtype 1–2, mannlig fe, mannlig fe: hudtype 1–2
🧚🏼‍♂	Oberon, Puck, fe, hudtype 3, mannlig fe, mannlig fe: hudtype 3
🧚🏽‍♂	Oberon, Puck, fe, hudtype 4, mannlig fe, mannlig fe: hudtype 4
🧚🏾‍♂	Oberon, Puck, fe, hudtype 5, mannlig fe, mannlig fe: hudtype 5
🧚🏿‍♂	Oberon, Puck, fe, hudtype 6, mannlig fe, mannlig fe: hudtype 6
🧚‍♀	Titania, fe, kvinnelig fe
🧚🏻‍♀	Titania, fe, hudtype 1–2, kvinnelig fe, kvinnelig fe: hudtype 1–2
🧚🏼‍♀	Titania, fe, hudtype 3, kvinnelig fe, kvinnelig fe: hudtype 3
🧚🏽‍♀	Titania, fe, hudtype 4, kvinnelig fe, kvinnelig fe: hudtype 4
🧚🏾‍♀	Titania, fe, hudtype 5, kvinnelig fe, kvinnelig fe: hudtype 5
🧚🏿‍♀	Titania, fe, hudtype 6, kvinnelig fe, kvinnelig fe: hudtype 6
🧛	Dracula, vampyr, vandød
🧛🏻	Dracula, hudtype 1–2, vampyr, vampyr: hudtype 1–2, vandød
🧛🏼	Dracula, hudtype 3, vampyr, vampyr: hudtype 3, vandød
🧛🏽	Dracula, hudtype 4, vampyr, vampyr: hudtype 4, vandød
🧛🏾	Dracula, hudtype 5, vampyr, vampyr: hudtype 5, vandød
🧛🏿	Dracula, hudtype 6, vampyr, vampyr: hudtype 6, vandød
🧛‍♂	Dracula, mannlig vampyr, vandød
🧛🏻‍♂	Dracula, hudtype 1–2, mannlig vampyr, mannlig vampyr: hudtype 1–2, vandød
🧛🏼‍♂	Dracula, hudtype 3, mannlig vampyr, mannlig vampyr: hudtype 3, vandød
🧛🏽‍♂	Dracula, hudtype 4, mannlig vampyr, mannlig vampyr: hudtype 4, vandød
🧛🏾‍♂	Dracula, hudtype 5, mannlig vampyr, mannlig vampyr: hudtype 5, vandød
🧛🏿‍♂	Dracula, hudtype 6, mannlig vampyr, mannlig vampyr: hudtype 6, vandød
🧛‍♀	kvinnelig vampyr, vandød
🧛🏻‍♀	hudtype 1–2, kvinnelig vampyr, kvinnelig vampyr: hudtype 1–2, vandød
🧛🏼‍♀	hudtype 3, kvinnelig vampyr, kvinnelig vampyr: hudtype 3, vandød
🧛🏽‍♀	hudtype 4, kvinnelig vampyr, kvinnelig vampyr: hudtype 4, vandød
🧛🏾‍♀	hudtype 5, kvinnelig vampyr, kvinnelig vampyr: hudtype 5, vandød
🧛🏿‍♀	hudtype 6, kvinnelig vampyr, kvinnelig vampyr: hudtype 6, vandød
🧜	havfrue, havkvinne, havmann, havperson
🧜🏻	havfrue, havkvinne, havmann, havperson, havperson: hudtype 1–2, hudtype 1–2
🧜🏼	havfrue, havkvinne, havmann, havperson, havperson: hudtype 3, hudtype 3
🧜🏽	havfrue, havkvinne, havmann, havperson, havperson: hudtype 4, hudtype 4
🧜🏾	havfrue, havkvinne, havmann, havperson, havperson: hudtype 5, hudtype 5
🧜🏿	havfrue, havkvinne, havmann, havperson, havperson: hudtype 6, hudtype 6
🧜‍♂	Triton, havmann
🧜🏻‍♂	Triton, havmann, havmann: hudtype 1–2, hudtype 1–2
🧜🏼‍♂	Triton, havmann, havmann: hudtype 3, hudtype 3
🧜🏽‍♂	Triton, havmann, havmann: hudtype 4, hudtype 4
🧜🏾‍♂	Triton, havmann, havmann: hudtype 5, hudtype 5
🧜🏿‍♂	Triton, havmann, havmann: hudtype 6, hudtype 6
🧜‍♀	havfrue, havkvinne
🧜🏻‍♀	havfrue, havfrue: hudtype 1–2, havkvinne, hudtype 1–2
🧜🏼‍♀	havfrue, havfrue: hudtype 3, havkvinne, hudtype 3
🧜🏽‍♀	havfrue, havfrue: hudtype 4, havkvinne, hudtype 4
🧜🏾‍♀	havfrue, havfrue: hudtype 5, havkvinne, hudtype 5
🧜🏿‍♀	havfrue, havfrue: hudtype 6, havkvinne, hudtype 6
🧝	alv, magi
🧝🏻	alv, alv: hudtype 1–2, hudtype 1–2, magi
🧝🏼	alv, alv: hudtype 3, hudtype 3, magi
🧝🏽	alv, alv: hudtype 4, hudtype 4, magi
🧝🏾	alv, alv: hudtype 5, hudtype 5, magi
🧝🏿	alv, alv: hudtype 6, hudtype 6, magi
🧝‍♂	magi, mannlig alv
🧝🏻‍♂	hudtype 1–2, magi, mannlig alv, mannlig alv: hudtype 1–2
🧝🏼‍♂	hudtype 3, magi, mannlig alv, mannlig alv: hudtype 3
