😀	fjes, glis, glisefjes
🦵🏼	bein, bein: hudtype 3, hudtype 3, lem, sparke
🦵🏽	bein, bein: hudtype 4, hudtype 4, lem, sparke
🦵🏾	bein, bein: hudtype 5, hudtype 5, lem, sparke
🦵🏿	bein, bein: hudtype 6, hudtype 6, lem, sparke
🦶	fot, sparke, tråkke
🦶🏻	fot, fot: hudtype 1–2, hudtype 1–2, sparke, tråkke
🦶🏼	fot, fot: hudtype 3, hudtype 3, sparke, tråkke
🦶🏽	fot, fot: hudtype 4, hudtype 4, sparke, tråkke
🦶🏾	fot, fot: hudtype 5, hudtype 5, sparke, tråkke
🦶🏿	fot, fot: hudtype 6, hudtype 6, sparke, tråkke
👂️	kropp, øre
👂🏻	hudtype 1–2, kropp, øre, øre: hudtype 1–2
👂🏼	hudtype 3, kropp, øre, øre: hudtype 3
👂🏽	hudtype 4, kropp, øre, øre: hudtype 4
👂🏾	hudtype 5, kropp, øre, øre: hudtype 5
👂🏿	hudtype 6, kropp, øre, øre: hudtype 6
🦻	svak hørsel, tilgjengelighet, øre med høreapparat
